Region label,Region name,hemisphere,RSN,Region ablation score,Delta AUC,Delta balanced accuracy,Mean absolute probability change,Mean AGFV absolute change,Max Region-AGFV-gene score,Mean top-50 Region-AGFV-gene score,Top linked AGFV features,Top linked genes
1027,ctx-lh-rostralmiddlefrontal,L,Fronto-Parietal,0.01376335909859,-0.0022942843064794,-0.0025252525252524,0.0064027032876665,0.0113514633608875,1.0815686842845775,0.995259062880792,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; FAM53C; MAP3K3; PXN; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; LILRA2
1034,ctx-lh-transversetemporal,L,Somato-motor,0.013616211120686,0.0022942843064794,-0.0030487804878048,0.0048733105000561,0.0092211537080326,1.0780005076532684,0.9923107776402295,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; FAM53C; PXN; MAP3K3; STAT5B; REPS2; GLT1D1; DYSF; RASGRP4; CD63
1021,ctx-lh-pericalcarine,L,Visual,0.013565057954736,0.0034029317565901,0.0030487804878048,0.0022528316203031,0.0045842709961152,1.0716821658923115,0.986872098130202,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
2013,ctx-rh-lingual,R,Visual,0.0130972238188726,0.0015551860064054,-0.0030487804878048,0.0053309672486386,0.0089836079577107,1.0786419136892644,0.9927352630878796,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; FAM53C; MAP3K3; PXN; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; LILRA2
2007,ctx-rh-fusiform,R,Visual,0.0128293904115643,0.0006005173688099,0.0,0.0036081115493952,0.0086207614933592,1.073982191417464,0.9899555685235388,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; FAM53C; PXN; MAP3K3; STAT5B; REPS2; GLT1D1; DYSF; RASGRP4; SLC25A44
2031,ctx-rh-supramarginal,R,Ventral Attention,0.0125333807837261,-1.53978812515998e-05,0.0,0.0035075972921817,0.009041181372796,1.0743553964954122,0.9901919450246003,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; FAM53C; MAP3K3; PXN; STAT5B; REPS2; GLT1D1; DYSF; RASGRP4; SLC25A44
2021,ctx-rh-pericalcarine,R,Visual,0.0124697046548951,0.0017553584626753,0.0030487804878048,0.0020346883864486,0.0053546342240435,1.067945468254171,0.9841933248106575,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
2032,ctx-rh-frontalpole,R,Limbic system,0.0122907915426446,-0.001139443212614,0.0060975609756097,0.0022323988596728,0.0045477887321307,1.0647803227825723,0.9802234504478763,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; PXN; NCF4; MAP3K3; FAM53C; STAT5B; REPS2; GLT1D1; CD63; RASGRP4; DYSF
58,Right-Accumbens-area,R,Subcortical,0.0121861789579275,-0.0005697216063069,0.0055740330130574,0.0024383870578623,0.0041909943054694,1.0651732239805998,0.981162179538032,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
5,Left-Inf-Lat-Vent,,,0.0119448007107653,-0.0001077851687608,-0.0005235279625522,0.0037146382875102,0.0083089893667229,1.0709510946486915,0.9859692701008161,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; FAM53C; PXN; MAP3K3; STAT5B; REPS2; GLT1D1; DYSF; RASGRP4; CD63
1008,ctx-lh-inferiorparietal,L,Default Mode Network,0.011667932169727,-0.0010624538063562,0.0,0.0039025893864525,0.0077228242139401,1.0714468643541881,0.9866965722987259,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; FAM53C; PXN; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
2020,ctx-rh-parstriangularis,R,Fronto-Parietal,0.0106594575500393,0.0016167775314116,0.0030487804878048,0.002017829949242,0.003699826487658,1.060005803544398,0.9761576869647183,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; PXN; NCF4; MAP3K3; FAM53C; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
1002,ctx-lh-caudalanteriorcingulate,L,Ventral Attention,0.0104546023119239,-0.0006929046563194,-0.0030487804878048,0.0047798331489899,0.0091402112131356,1.066561585533683,0.9834100498226787,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; FAM53C; PXN; MAP3K3; STAT5B; REPS2; GLT1D1; DYSF; RASGRP4; SLC25A44
2006,ctx-rh-entorhinal,R,Limbic system,0.0103578364840224,0.0003849470312884,0.0025252525252524,0.0024552418263783,0.0047161520071805,1.0609020860926603,0.9771870175650189,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
54,Right-Amygdala,R,Subcortical,0.0102026636339161,-0.0010008622813501,0.0025252525252524,0.002712213276057,0.0051373308321888,1.0607156648962097,0.9767594743401959,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
255,CC_Anterior,,,0.009719166448576,0.0007544961813253,0.0,0.0029559288564966,0.0054562552229087,1.0593298394479005,0.9757679322363777,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
1026,ctx-lh-rostralanteriorcingulate,L,Default Mode Network,0.0096302144003016,-0.0002155703375216,-0.0005235279625522,0.0033991013779639,0.0064177251345663,1.0598781215029691,0.9764673430911234,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
1020,ctx-lh-parstriangularis,L,Default Mode Network,0.009479503259587,-0.0008776792313378,-0.0025252525252524,0.0045095517541904,0.007544153980219,1.0626290041843458,0.9774881605244066,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; MAP3K3; FAM53C; PXN; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; LILRA2
2002,ctx-rh-caudalanteriorcingulate,R,Ventral Attention,0.0094565991981884,-0.0011856368563687,0.0,0.0038423098685497,0.0062474399981621,1.0601103128211358,0.9766951466781428,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; FAM53C; PXN; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
44,Right-Inf-Lat-Vent,,,0.0092837312693744,-0.0004773343187978,0.0,0.0032088287439691,0.0065522368442031,1.0591862390573477,0.976664693320717,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; FAM53C; PXN; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
