Region label,Region name,hemisphere,acronyms,subcortex,RSN,BraakStage,AGFV feature,Mean absolute AGFV feature change,Mean signed AGFV feature change,MNI.x,MNI.y,MNI.z
2,Left-Cerebral-White-Matter,,,,,,AGFV063,0.13730959647762184,-0.03194721977519725,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV064,0.08176910797988184,-0.01581950768704902,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV065,0.158533645762923,0.06736609800744452,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV066,0.15484099962764022,0.07661341657625377,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV067,0.0954743773568401,-0.02615592138872621,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV068,0.234622654252948,0.09219831401142627,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV069,0.11615656378025509,0.044082207656697014,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV070,0.09932274976487976,-0.03741977623154445,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV071,0.09305592613984208,0.037968037042828556,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV072,0.09082326994828098,-0.01905574997403345,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV073,0.21071052538920504,-0.08467340860412924,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV074,0.18521358356785378,0.06948003456902109,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV075,0.19672430401348937,0.07807226833058985,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV076,0.20859964268065948,0.07927724630546175,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV077,0.337266036983353,-0.1438527932153881,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV078,0.04686744210634442,-0.005237619809353549,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV079,0.07598140876925452,-0.004587535947067303,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV080,0.11167284769124418,-0.035136077069363544,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV081,0.25448796392845513,-0.09108582854229771,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV082,0.18787244163988703,-0.07242005631245302,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV083,0.2209975551505115,-0.08803735936873526,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV084,0.11839518666226231,0.05849557634422463,,,
