config,epoch,train_loss,train_auc,train_balanced_accuracy,validation_auc,validation_balanced_accuracy,generalization_gap,selection_score
mlp_64_do020_wd001_lr0003,1,0.3117951842791894,0.9968982947936708,0.9917428071895186,0.9063239494084047,0.8208078335373317,0.261509319037453,1.6879053850901182
mlp_64_do020_wd001_lr0003,2,0.10469692813999512,0.9968251413689931,0.9950054499301384,0.9060791513667891,0.8285597715218278,0.25719166841051466,1.69606017262704
mlp_64_do020_wd001_lr0003,3,0.06955792952109785,0.9969458445197111,0.9950054499301384,0.907874337005304,0.8285597715218278,0.25551718592271777,1.6981065306387242
mlp_64_do020_wd001_lr0003,4,0.05805439151385251,0.9970482593142598,0.9950054499301384,0.9103223174214605,0.8285597715218278,0.25317162030110985,1.700906345898122
mlp_64_do020_wd001_lr0003,5,0.054190107785603576,0.9970994667115342,0.9950054499301384,0.9120359037127703,0.8285597715218278,0.2515092414070744,1.702869289023537
mlp_64_do020_wd001_lr0003,6,0.04597381929702619,0.9971506741088083,0.9950054499301384,0.9138310893512852,0.8285597715218278,0.2497652631658337,1.7049260713982382
mlp_64_do020_wd001_lr0003,7,0.04325036430621848,0.9971616471225101,0.9950054499301384,0.9139942880456956,0.8285597715218278,0.2496130374851251,1.7051121039447548
mlp_64_do020_wd001_lr0003,8,0.03820429819033427,0.9972128545197844,0.9950054499301384,0.9161158710730314,0.8285597715218278,0.24754266185506357,1.7075442433165995
mlp_64_do020_wd001_lr0003,9,0.03717323666548028,0.9972384582184215,0.9950054499301384,0.9187270501835986,0.8285597715218278,0.24495708644313352,1.7105432587389562
mlp_64_do020_wd001_lr0003,10,0.035055467091939026,0.9972933232869297,0.9950054499301384,0.9197062423500613,0.8285597715218278,0.24403275934517898,1.7116610999701123
mlp_64_do020_wd001_lr0003,11,0.03331715109593728,0.99734087301297,0.9950054499301384,0.9205222358221133,0.8285597715218278,0.24326431559916728,1.712592360004066
mlp_64_do020_wd001_lr0003,12,0.03220700061715701,0.9976042253418093,0.9950054499301384,0.9217462260301917,0.8285597715218278,0.2423036777199281,1.7139604458940305
mlp_64_do020_wd001_lr0003,13,0.02679655092823155,0.9977724782185677,0.9950054499301384,0.9223990208078335,0.8285597715218278,0.2418191358190448,1.7146859219568045
mlp_64_do020_wd001_lr0003,14,0.027888633858631637,0.997948046437794,0.9950054499301384,0.9237046103631171,0.8285597715218278,0.24068911448298747,1.7161610147124966
mlp_64_do020_wd001_lr0003,15,0.02614002674818039,0.9980211998624716,0.9950054499301384,0.9245206038351693,0.8285597715218278,0.2399462744356129,1.7170884341916552
mlp_64_do020_wd001_lr0003,16,0.03165298108668888,0.9981455606844234,0.9950054499301384,0.9263157894736842,0.8285597715218278,0.23827544961904978,1.7191342435526544
mlp_64_do020_wd001_lr0003,17,0.026559209615430412,0.9984454897256014,0.9950054499301384,0.9259077927376581,0.8390860873113015,0.2284570596067802,1.7307253211079425
