Model,Split,Subgroup,"Subjects, n","AD, n","CN, n",AUC,Accuracy,Balanced accuracy,Precision,AD sensitivity,CN specificity,F1,TN,FP,FN,TP
Final AGFV NN classifier,Train,Overall,1059,446,613,0.9990490054791915,0.9971671388101983,0.9972476023965062,0.9955257270693513,0.9977578475336323,0.9967373572593801,0.9966405375139977,611,2,1,445
Final AGFV NN classifier,Train,measured_gfv_encoder,215,64,151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151,0,0,64
Final AGFV NN classifier,Train,mri_mfv_encoder,844,382,462,0.9991500645950908,0.9964454976303317,0.9965265973119377,0.9947780678851175,0.9973821989528796,0.9956709956709957,0.996078431372549,460,2,1,381
Final AGFV NN classifier,Validation,Overall,224,95,129,0.9247654018767849,0.8571428571428571,0.850999592003264,0.8461538461538461,0.8105263157894737,0.8914728682170543,0.8279569892473119,115,14,18,77
Final AGFV NN classifier,Validation,measured_gfv_encoder,43,13,30,0.9794871794871796,0.9069767441860465,0.9333333333333333,0.7647058823529411,1.0,0.8666666666666667,0.8666666666666667,26,4,0,13
Final AGFV NN classifier,Validation,mri_mfv_encoder,181,82,99,0.9307711258930772,0.8453038674033149,0.8397388519339739,0.8648648648648649,0.7804878048780488,0.898989898989899,0.8205128205128205,89,10,18,64
Final AGFV NN classifier,Test,Overall,225,95,130,0.8859514170040484,0.8311111111111111,0.8283400809716599,0.7938144329896907,0.8105263157894737,0.8461538461538461,0.8020833333333334,110,20,18,77
Final AGFV NN classifier,Test,measured_gfv_encoder,44,13,31,0.9751861042183623,0.8863636363636364,0.8970223325062034,0.75,0.9230769230769231,0.8709677419354839,0.8275862068965517,27,4,1,12
Final AGFV NN classifier,Test,mri_mfv_encoder,181,82,99,0.8815594974131559,0.8176795580110497,0.8155333826065534,0.8024691358024691,0.7926829268292683,0.8383838383838383,0.7975460122699386,83,16,17,65
