Gene symbol,Probe ID / feature ID,LocusLink,limma logFC AD vs CN,Average expression,Moderated t statistic,Raw P value,FDR-adjusted P value,B statistic,Rank by raw P value,Selected for 464-gene panel,Direction in AD,Final GE branch panel,Final GE branch panel size,Final GE branch selection rule,Selected probe panel label,Selected probe panel size,Approximate unique gene symbols in selected panel
TLR2,11736274_at,LOC7097,0.243522929933676,7.27655960264901,3.44547082810549,0.0006513802031264,0.452674834052308,-0.496594595996311,67,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
C9ORF116,11724109_a_at,LOC138162,-0.0841574096407146,2.31264900662252,-3.44530016037397,0.0006517758497069,0.452674834052308,-0.497105901568863,68,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ACSL1,11750700_a_at,LOC2180,0.278322081836368,7.39241721854305,3.44486817836387,0.0006527782861195,0.452674834052308,-0.498399978110485,69,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
MBOAT1,11753189_a_at,LOC154141,0.0963633685130867,2.1704238410596,3.44352341067834,0.0006559081210426,0.452674834052308,-0.502427509459691,70,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
SEL1L,11717203_at,LOC6400,0.165872208121694,6.65812913907285,3.42877686149764,0.0006911620056704,0.452674834052308,-0.546498318001717,71,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ITGB8,11751989_a_at,LOC3696,-0.0783041794978857,2.2081059602649,-3.42106852874537,0.0007102868382729,0.452674834052308,-0.569466028027203,72,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
,11764032_at,,-0.259124604618346,8.24991059602649,-3.41922695455988,0.000714928459772,0.452674834052308,-0.574946154987248,73,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
LPCAT3,11757009_x_at,LOC10162,0.123396807457449,4.81786092715232,3.41063278486575,0.0007369666672376,0.452674834052308,-0.600484740282,74,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
FBXO38,11757866_s_at,LOC81545,0.115292009889784,7.9032880794702,3.41010369854111,0.0007383439255507,0.452674834052308,-0.602055054783321,75,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
KCNH7,11737809_at,LOC90134,0.214968036288143,5.03926821192053,3.40958695212395,0.0007396913808262,0.452674834052308,-0.603588528882328,76,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
MOSPD2,11743736_at,LOC158747,0.187205520917168,7.3166059602649,3.40855924894788,0.000742378019013,0.452674834052308,-0.606637661884041,77,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
EMD,11718429_at,LOC2010,-0.111936448237746,6.78164569536424,-3.40695304591027,0.000746595228851,0.452674834052308,-0.611401478751638,78,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
FAM209A || FAM209B,11729876_s_at,,0.154579089875981,6.62533112582781,3.39856522258276,0.000768983724593,0.452674834052308,-0.636245316795468,79,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CCR5,11748062_s_at,LOC1234,-0.102295034816714,2.70323509933775,-3.39719122358035,0.0007727103287955,0.452674834052308,-0.640309593849832,80,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
DDR2,11759442_s_at,LOC4921,0.0642967234646638,2.01482119205298,3.39264868072731,0.0007851510405831,0.452674834052308,-0.653735649006687,81,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ABHD3,11746269_a_at,LOC171586,0.217517099382424,5.20606291390729,3.39215388242648,0.0007865173767816,0.452674834052308,-0.655197090625678,82,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
BCL6,11720746_s_at,LOC604,0.0808636881238044,11.7209536423841,3.39143355643069,0.0007885104505221,0.452674834052308,-0.657324303181161,83,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
SULT1B1,11734451_at,LOC27284,0.278419794846935,6.00743377483444,3.38927250396229,0.0007945181825737,0.452674834052308,-0.663703669930097,84,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
HECW2,11730580_s_at,LOC57520,0.322491623525227,5.78182781456954,3.38891389573799,0.0007955192351016,0.452674834052308,-0.66476190995045,85,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
PISD,11756516_a_at,LOC23761,0.139347023240646,9.59523841059603,3.38708809398745,0.0008006342162782,0.452674834052308,-0.670148189782196,86,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ARHGEF12,11761978_at,,-0.353854785050864,4.96204966887417,-3.37904490980635,0.0008235345015381,0.452674834052308,-0.693844541459385,87,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ABCA1,11739502_a_at,LOC19,0.273092119065696,3.04954304635762,3.37783064314357,0.000827044316705,0.452674834052308,-0.697417441925785,88,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CREB5,11722971_a_at,LOC9586,0.169075806483049,9.82096688741722,3.37376225645768,0.0008389058152863,0.452674834052308,-0.709379798207624,89,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
DUSP13,11728562_a_at,LOC51207,0.308744901241707,3.92420529801324,3.37298752609808,0.0008411824620778,0.452674834052308,-0.711656250189106,90,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
FLOT1,11743045_a_at,LOC10211,0.164365408004241,5.84828145695364,3.37236892317343,0.0008430044418049,0.452674834052308,-0.713473595235353,91,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
LAMP2,11748160_s_at,LOC3920,0.16374548310229,7.92860264900662,3.37115722153155,0.0008465839477635,0.452674834052308,-0.717032470116603,92,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
LIMK2,11733509_a_at,LOC3985,0.238103812468875,7.03697350993377,3.36548886327529,0.0008635178634152,0.452674834052308,-0.733665314651921,93,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CCPG1,11723009_at,LOC9236,0.206001220448399,4.27806291390729,3.36368261625295,0.0008689799035522,0.452674834052308,-0.738960032560136,94,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ABCG1,11725515_a_at,LOC9619,0.222652798934807,9.70967218543046,3.36309120301517,0.0008707753054503,0.452674834052308,-0.740693095433818,95,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
PRDM1,11726217_a_at,LOC639,0.244403163396878,5.55043046357616,3.35891919494568,0.0008835391464031,0.454525669627767,-0.75291067897826,96,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
LONRF3,11755304_a_at,LOC79836,0.178925402196913,3.05288410596026,3.3559315754738,0.0008927863421282,0.454547899921067,-0.761651244229177,97,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ABCG1,11725517_x_at,LOC9619,0.231199422656328,9.73500331125828,3.35184232873894,0.0009055894725088,0.456361649891062,-0.773603118348579,98,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
HAL,11752202_a_at,LOC3034,0.262289714573763,5.8772417218543,3.34881400915007,0.0009151809106135,0.45653661062185,-0.782445513419954,99,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
SH3GLB1,11746324_a_at,LOC51100,0.14006123962125,8.50528145695364,3.34209591563984,0.0009367975102448,0.462646818409522,-0.802035408723026,100,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
BCL7A,11740108_a_at,LOC605,-0.248059206147737,5.71036092715232,-3.33443683721155,0.0009620214199223,0.470399899448349,-0.824324998061733,101,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
USP47,11743614_a_at,LOC55031,-0.153465323159723,6.23440728476821,-3.31880714881503,0.0010154683808015,0.473037532048113,-0.869664559163695,102,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
