epoch,train_loss,train_auc,train_balanced_accuracy,train_accuracy,train_f1,validation_loss,validation_auc,validation_balanced_accuracy,validation_accuracy,validation_f1
1,0.6167048321213833,0.7574503311258278,0.7078331953642384,0.6465116279069767,0.5913978494623656,0.6225240230560303,0.735897435897436,0.6294871794871795,0.6046511627906976,0.5142857142857142
2,0.562293208477109,0.8212955298013245,0.749948261589404,0.6930232558139535,0.6333333333333333,0.5858206152915955,0.7897435897435898,0.6628205128205128,0.6511627906976745,0.5454545454545454
3,0.5219990588897883,0.8699296357615893,0.7631932947019868,0.7116279069767442,0.6477272727272727,0.5749027729034424,0.7948717948717949,0.6794871794871795,0.6744186046511628,0.5625
4,0.48528518427249995,0.9035596026490066,0.7863721026490067,0.7441860465116279,0.6745562130177515,0.56455397605896,0.8025641025641026,0.6794871794871795,0.6744186046511628,0.5625
5,0.45286828321079875,0.9294288079470199,0.8284871688741722,0.7906976744186046,0.7239263803680982,0.5575717687606812,0.823076923076923,0.6794871794871795,0.6744186046511628,0.5625
6,0.4269251077674156,0.945260761589404,0.849544701986755,0.813953488372093,0.75,0.5442639589309692,0.8282051282051283,0.6794871794871795,0.6744186046511628,0.5625
7,0.39729960990506547,0.9631622516556291,0.8859685430463576,0.8651162790697674,0.8053691275167785,0.5319927930831909,0.8487179487179487,0.7128205128205127,0.7209302325581395,0.6
8,0.37607852858166363,0.970716059602649,0.900403559602649,0.8790697674418605,0.8243243243243243,0.5184141993522644,0.858974358974359,0.7512820512820513,0.7441860465116279,0.6451612903225806
9,0.3552750278350919,0.9773385761589404,0.9115273178807948,0.8883720930232558,0.8378378378378378,0.500215470790863,0.8769230769230769,0.767948717948718,0.7674418604651163,0.6666666666666666
10,0.33288510109103003,0.9853062913907285,0.9280836092715232,0.9116279069767442,0.8671328671328671,0.5004437565803528,0.8769230769230769,0.7294871794871796,0.7441860465116279,0.6206896551724138
11,0.3162551716316578,0.9887210264900663,0.9380173841059603,0.9255813953488372,0.8857142857142857,0.4890894889831543,0.8846153846153846,0.7294871794871796,0.7441860465116279,0.6206896551724138
12,0.29862229754758435,0.9931705298013245,0.9557636589403973,0.9441860465116279,0.9130434782608695,0.4792620837688446,0.8948717948717948,0.7294871794871796,0.7441860465116279,0.6206896551724138
13,0.28230164536209995,0.9963783112582781,0.9623861754966887,0.9534883720930233,0.9264705882352942,0.47017794847488403,0.8948717948717948,0.767948717948718,0.7674418604651163,0.6666666666666666
