epoch,train_loss,train_auc,train_balanced_accuracy,train_accuracy,train_f1,validation_loss,validation_auc,validation_balanced_accuracy,validation_accuracy,validation_f1
14,0.2712909566801648,0.9972061258278146,0.9623861754966887,0.9534883720930233,0.9264705882352942,0.46827492117881775,0.8974358974358975,0.767948717948718,0.7674418604651163,0.6666666666666666
15,0.26229305641595707,0.9968956953642384,0.9623861754966887,0.9534883720930233,0.9264705882352942,0.459713876247406,0.9025641025641025,0.767948717948718,0.7674418604651163,0.6666666666666666
16,0.25107679852219517,0.998033940397351,0.9690086920529801,0.9627906976744186,0.9402985074626866,0.4491468369960785,0.9076923076923077,0.767948717948718,0.7674418604651163,0.6666666666666666
17,0.24486884641092876,0.9977235099337748,0.9690086920529801,0.9627906976744186,0.9402985074626866,0.45301854610443115,0.9102564102564104,0.767948717948718,0.7674418604651163,0.6666666666666666
18,0.23690224470094193,0.9982408940397351,0.9690086920529801,0.9627906976744186,0.9402985074626866,0.45061492919921875,0.9102564102564104,0.767948717948718,0.7674418604651163,0.6666666666666666
19,0.22549683368483256,0.9987582781456954,0.9723199503311258,0.9674418604651163,0.9473684210526315,0.4402117133140564,0.9179487179487178,0.7846153846153847,0.7906976744186046,0.6896551724137931
20,0.21575384417245555,0.9997930463576159,0.9867549668874172,0.9813953488372092,0.9696969696969697,0.42605650424957275,0.923076923076923,0.823076923076923,0.813953488372093,0.7333333333333333
21,0.210142934114434,0.9995860927152318,0.9867549668874172,0.9813953488372092,0.9696969696969697,0.42217817902565,0.9256410256410257,0.823076923076923,0.813953488372093,0.7333333333333333
22,0.20581007183984268,0.9997930463576159,0.9867549668874172,0.9813953488372092,0.9696969696969697,0.41604501008987427,0.9256410256410256,0.8782051282051282,0.8604651162790697,0.8
23,0.2013765929743301,0.9997930463576159,0.9867549668874172,0.9813953488372092,0.9696969696969697,0.4082828164100647,0.9307692307692308,0.8615384615384616,0.8372093023255814,0.7741935483870968
24,0.19499799713145854,0.999896523178808,0.990066225165563,0.986046511627907,0.9770992366412213,0.39718592166900635,0.9333333333333333,0.8782051282051282,0.8604651162790697,0.8
25,0.19029085580692734,0.999896523178808,0.990066225165563,0.986046511627907,0.9770992366412213,0.3935360312461853,0.9358974358974359,0.8615384615384616,0.8372093023255814,0.7741935483870968
26,0.18538774889568949,1.0,0.9933774834437086,0.9906976744186047,0.9846153846153847,0.38854286074638367,0.9358974358974359,0.8782051282051282,0.8604651162790697,0.8
27,0.18161897382070852,1.0,0.9933774834437086,0.9906976744186047,0.9846153846153847,0.38352739810943604,0.9487179487179488,0.8782051282051282,0.8604651162790697,0.8
28,0.17892967254616493,1.0,0.9933774834437086,0.9906976744186047,0.9846153846153847,0.3857457637786865,0.9435897435897437,0.8615384615384616,0.8372093023255814,0.7741935483870968
29,0.17676121162813763,1.0,0.9933774834437086,0.9906976744186047,0.9846153846153847,0.38873201608657837,0.9410256410256411,0.8615384615384616,0.8372093023255814,0.7741935483870968
30,0.17471412489580554,1.0,0.9933774834437086,0.9906976744186047,0.9846153846153847,0.38526391983032227,0.9384615384615385,0.8615384615384616,0.8372093023255814,0.7741935483870968
31,0.17128101102141446,1.0,0.9933774834437086,0.9906976744186047,0.9846153846153847,0.37746021151542664,0.9410256410256411,0.8782051282051282,0.8604651162790697,0.8
32,0.1690223376418269,1.0,0.9933774834437086,0.9906976744186047,0.9846153846153847,0.36946043372154236,0.9461538461538462,0.8948717948717949,0.8837209302325582,0.8275862068965517
33,0.16860306457031604,1.0,0.9933774834437086,0.9906976744186047,0.9846153846153847,0.3757343292236328,0.9435897435897436,0.8782051282051282,0.8604651162790697,0.8
34,0.16748982300592025,1.0,0.9966887417218543,0.9953488372093023,0.9922480620155039,0.3794890344142914,0.9487179487179488,0.8615384615384616,0.8372093023255814,0.7741935483870968
35,0.16815377681754357,1.0,0.9933774834437086,0.9906976744186047,0.9846153846153847,0.38113701343536377,0.9435897435897436,0.8782051282051282,0.8604651162790697,0.8
36,0.16548368833785834,1.0,0.9933774834437086,0.9906976744186047,0.9846153846153847,0.3717101812362671,0.9487179487179488,0.8782051282051282,0.8604651162790697,0.8
37,0.16192135921744413,1.0,0.9966887417218543,0.9953488372093023,0.9922480620155039,0.36130231618881226,0.9512820512820513,0.8948717948717949,0.8837209302325582,0.8275862068965517
38,0.15882449087708495,1.0,0.9966887417218543,0.9953488372093023,0.9922480620155039,0.3505888283252716,0.9564102564102565,0.8948717948717949,0.8837209302325582,0.8275862068965517
39,0.15722697841566663,1.0,0.9966887417218543,0.9953488372093023,0.9922480620155039,0.34505829215049744,0.9615384615384616,0.8948717948717949,0.8837209302325582,0.8275862068965517
40,0.15605256404987602,1.0,0.9966887417218543,0.9953488372093023,0.9922480620155039,0.3436286449432373,0.958974358974359,0.8948717948717949,0.8837209302325582,0.8275862068965517
41,0.1564902448376944,1.0,0.9966887417218543,0.9953488372093023,0.9922480620155039,0.3468787670135498,0.9538461538461539,0.8948717948717949,0.8837209302325582,0.8275862068965517
42,0.15601804124754529,1.0,0.9966887417218543,0.9953488372093023,0.9922480620155039,0.3429509401321411,0.9564102564102565,0.8948717948717949,0.8837209302325582,0.8275862068965517
43,0.155814489445021,1.0,0.9966887417218543,0.9953488372093023,0.9922480620155039,0.3488820791244507,0.9512820512820513,0.8615384615384616,0.8372093023255814,0.7741935483870968
44,0.15424723209336746,1.0,1.0,1.0,1.0,0.34690290689468384,0.9538461538461539,0.8782051282051282,0.8604651162790697,0.8
45,0.15445928060731223,1.0,1.0,1.0,1.0,0.3420858383178711,0.9615384615384617,0.8948717948717949,0.8837209302325582,0.8275862068965517
46,0.15396841549596121,1.0,1.0,1.0,1.0,0.33398836851119995,0.9641025641025642,0.8948717948717949,0.8837209302325582,0.8275862068965517
47,0.1523776514585628,1.0,1.0,1.0,1.0,0.32669803500175476,0.9692307692307693,0.8948717948717949,0.8837209302325582,0.8275862068965517
48,0.15163989011631457,1.0,1.0,1.0,1.0,0.32485607266426086,0.9717948717948719,0.8948717948717949,0.8837209302325582,0.8275862068965517
49,0.15189825753832972,1.0,1.0,1.0,1.0,0.3311499357223511,0.9666666666666667,0.8948717948717949,0.8837209302325582,0.8275862068965517
50,0.15183807230272958,1.0,1.0,1.0,1.0,0.3319331109523773,0.9666666666666667,0.8948717948717949,0.8837209302325582,0.8275862068965517
51,0.15145197164180668,1.0,1.0,1.0,1.0,0.33234596252441406,0.9615384615384616,0.8948717948717949,0.8837209302325582,0.8275862068965517
52,0.1518144443977711,1.0,1.0,1.0,1.0,0.33859843015670776,0.9564102564102565,0.8782051282051282,0.8604651162790697,0.8
53,0.152438645515331,1.0,1.0,1.0,1.0,0.33931854367256165,0.9538461538461539,0.8782051282051282,0.8604651162790697,0.8
54,0.15192774658979372,1.0,1.0,1.0,1.0,0.33247339725494385,0.9615384615384616,0.8948717948717949,0.8837209302325582,0.8275862068965517
55,0.15131787415160688,1.0,1.0,1.0,1.0,0.3206252157688141,0.9666666666666668,0.8948717948717949,0.8837209302325582,0.8275862068965517
56,0.1509548388248266,1.0,1.0,1.0,1.0,0.32073310017585754,0.976923076923077,0.8948717948717949,0.8837209302325582,0.8275862068965517
57,0.15115001250145046,1.0,1.0,1.0,1.0,0.3214452266693115,0.976923076923077,0.8948717948717949,0.8837209302325582,0.8275862068965517
58,0.15115040145641148,1.0,1.0,1.0,1.0,0.32526636123657227,0.9692307692307693,0.8948717948717949,0.8837209302325582,0.8275862068965517
59,0.15083169250987297,1.0,1.0,1.0,1.0,0.3259015679359436,0.9692307692307693,0.8948717948717949,0.8837209302325582,0.8275862068965517
60,0.14995376315227774,1.0,1.0,1.0,1.0,0.3159210979938507,0.976923076923077,0.8948717948717949,0.8837209302325582,0.8275862068965517
61,0.15015274480331775,1.0,1.0,1.0,1.0,0.3096572160720825,0.976923076923077,0.8948717948717949,0.8837209302325582,0.8275862068965517
62,0.1504581847163134,1.0,1.0,1.0,1.0,0.31042900681495667,0.976923076923077,0.8948717948717949,0.8837209302325582,0.8275862068965517
63,0.15049990457157755,1.0,1.0,1.0,1.0,0.3118665814399719,0.9743589743589745,0.8948717948717949,0.8837209302325582,0.8275862068965517
64,0.15055973952592805,1.0,1.0,1.0,1.0,0.31285691261291504,0.9743589743589745,0.8948717948717949,0.8837209302325582,0.8275862068965517
65,0.15068159817263138,1.0,1.0,1.0,1.0,0.3133056163787842,0.9743589743589745,0.8948717948717949,0.8837209302325582,0.8275862068965517
66,0.15065449975257697,1.0,1.0,1.0,1.0,0.31691086292266846,0.9743589743589745,0.8948717948717949,0.8837209302325582,0.8275862068965517
67,0.15091204386810925,1.0,1.0,1.0,1.0,0.3193398118019104,0.9692307692307692,0.8948717948717949,0.8837209302325582,0.8275862068965517
68,0.15115183072034702,1.0,1.0,1.0,1.0,0.3203273415565491,0.9666666666666667,0.8948717948717949,0.8837209302325582,0.8275862068965517
69,0.15118615336196367,1.0,1.0,1.0,1.0,0.31405356526374817,0.9743589743589745,0.8948717948717949,0.8837209302325582,0.8275862068965517
70,0.15090282053448434,1.0,1.0,1.0,1.0,0.30440405011177063,0.976923076923077,0.8948717948717949,0.8837209302325582,0.8275862068965517
71,0.1506807458955188,1.0,1.0,1.0,1.0,0.3025442659854889,0.976923076923077,0.8948717948717949,0.8837209302325582,0.8275862068965517
72,0.1510031327951786,1.0,1.0,1.0,1.0,0.30461546778678894,0.976923076923077,0.8948717948717949,0.8837209302325582,0.8275862068965517
73,0.15137826668661694,1.0,1.0,1.0,1.0,0.30364423990249634,0.9743589743589745,0.8948717948717949,0.8837209302325582,0.8275862068965517
74,0.15182236488475356,1.0,1.0,1.0,1.0,0.3122095763683319,0.9743589743589745,0.8948717948717949,0.8837209302325582,0.8275862068965517
75,0.15174370643704438,1.0,1.0,1.0,1.0,0.3128291368484497,0.9717948717948719,0.8948717948717949,0.8837209302325582,0.8275862068965517
76,0.1517482214195784,1.0,1.0,1.0,1.0,0.31562021374702454,0.9666666666666667,0.8948717948717949,0.8837209302325582,0.8275862068965517
77,0.15216999261878258,1.0,1.0,1.0,1.0,0.3207740783691406,0.9615384615384616,0.8948717948717949,0.8837209302325582,0.8275862068965517
78,0.15215952375600506,1.0,1.0,1.0,1.0,0.3197552561759949,0.9615384615384616,0.8948717948717949,0.8837209302325582,0.8275862068965517
79,0.15179966008940407,1.0,1.0,1.0,1.0,0.3104626536369324,0.9717948717948718,0.8948717948717949,0.8837209302325582,0.8275862068965517
80,0.15180779951949452,1.0,1.0,1.0,1.0,0.3037675619125366,0.9743589743589745,0.8948717948717949,0.8837209302325582,0.8275862068965517
81,0.1516792165678601,1.0,1.0,1.0,1.0,0.30090659856796265,0.9743589743589745,0.8948717948717949,0.8837209302325582,0.8275862068965517
82,0.15181472835152648,1.0,1.0,1.0,1.0,0.3069877624511719,0.9717948717948718,0.8948717948717949,0.8837209302325582,0.8275862068965517
83,0.1514535908782205,1.0,1.0,1.0,1.0,0.3026118278503418,0.9743589743589745,0.8948717948717949,0.8837209302325582,0.8275862068965517
84,0.15144415317579757,1.0,1.0,1.0,1.0,0.303090900182724,0.9717948717948718,0.8948717948717949,0.8837209302325582,0.8275862068965517
85,0.15176006680311158,1.0,1.0,1.0,1.0,0.3055005371570587,0.9717948717948718,0.8948717948717949,0.8837209302325582,0.8275862068965517
86,0.15194759472858074,1.0,1.0,1.0,1.0,0.3146481513977051,0.9641025641025641,0.8948717948717949,0.8837209302325582,0.8275862068965517
87,0.15189532124718955,1.0,1.0,1.0,1.0,0.316311240196228,0.9615384615384616,0.8948717948717949,0.8837209302325582,0.8275862068965517
88,0.15170594710250235,1.0,1.0,1.0,1.0,0.31868284940719604,0.9615384615384616,0.8948717948717949,0.8837209302325582,0.8275862068965517
89,0.1516032730424127,1.0,1.0,1.0,1.0,0.3189913034439087,0.9615384615384616,0.8948717948717949,0.8837209302325582,0.8275862068965517
90,0.1516121972438901,1.0,1.0,1.0,1.0,0.31165188550949097,0.9717948717948718,0.8948717948717949,0.8837209302325582,0.8275862068965517
91,0.15173369257949118,1.0,1.0,1.0,1.0,0.3054307997226715,0.9717948717948718,0.8948717948717949,0.8837209302325582,0.8275862068965517
92,0.15162521621515584,1.0,1.0,1.0,1.0,0.30331748723983765,0.9743589743589745,0.8948717948717949,0.8837209302325582,0.8275862068965517
93,0.15182669419188832,1.0,1.0,1.0,1.0,0.3100440502166748,0.9666666666666667,0.8948717948717949,0.8837209302325582,0.8275862068965517
94,0.15173422195190608,1.0,1.0,1.0,1.0,0.3073957860469818,0.9692307692307692,0.8948717948717949,0.8837209302325582,0.8275862068965517
95,0.15170951450979986,1.0,1.0,1.0,1.0,0.31046628952026367,0.9666666666666667,0.8948717948717949,0.8837209302325582,0.8275862068965517
96,0.15171035292536714,1.0,1.0,1.0,1.0,0.3097178637981415,0.9692307692307692,0.8948717948717949,0.8837209302325582,0.8275862068965517
97,0.1515609795270964,1.0,1.0,1.0,1.0,0.3172408640384674,0.9666666666666667,0.8948717948717949,0.8837209302325582,0.8275862068965517
98,0.15147592085738515,1.0,1.0,1.0,1.0,0.3193133771419525,0.9615384615384616,0.8948717948717949,0.8837209302325582,0.8275862068965517
99,0.15125464623750642,1.0,1.0,1.0,1.0,0.314363956451416,0.9666666666666667,0.8948717948717949,0.8837209302325582,0.8275862068965517
100,0.15147208876388019,1.0,1.0,1.0,1.0,0.307725727558136,0.9666666666666667,0.8948717948717949,0.8837209302325582,0.8275862068965517
101,0.15151044490725496,1.0,1.0,1.0,1.0,0.30231404304504395,0.9717948717948719,0.8948717948717949,0.8837209302325582,0.8275862068965517
