Gene symbol,Probe ID / feature ID,LocusLink,limma logFC AD vs CN,Average expression,Moderated t statistic,Raw P value,FDR-adjusted P value,B statistic,Rank by raw P value,Selected for final GE branch panel,Final selected panel size,Direction in AD
CBS,11744835_s_at,LOC875,0.606572981196186,6.16579139072848,3.53056864442341,0.0004797804391626,0.452674834052308,-0.238764378064205,52,True,1000,Higher in AD
CREB5,11722970_a_at,LOC9586,0.228780875751664,9.49361258278146,3.5207356527577,0.0004971863761894,0.452674834052308,-0.26885012168701,53,True,1000,Higher in AD
ODC1,11752515_a_at,LOC4953,-0.235098762914644,8.44002317880795,-3.50786399997171,0.0005208663250225,0.452674834052308,-0.308117404029779,54,True,1000,Lower in AD
SRPK1,11718852_a_at,LOC6732,0.194180210623359,9.08964238410596,3.50739223530985,0.0005217539800496,0.452674834052308,-0.309554111430431,55,True,1000,Higher in AD
GCM1,11732725_at,LOC8521,0.299701038420017,4.88026158940397,3.50617002778266,0.0005240602355642,0.452674834052308,-0.313275389087705,56,True,1000,Higher in AD
BCL6,11759322_at,LOC604,0.286047327315657,7.47554635761589,3.49421291798168,0.0005471319586297,0.452674834052308,-0.349618910960921,57,True,1000,Higher in AD
INTS6,11746393_x_at,LOC26512,0.136018793197824,4.87828476821192,3.49389972816742,0.000547748861987,0.452674834052308,-0.350569323539603,58,True,1000,Higher in AD
WLS,11733513_a_at,LOC79971,0.33254333074624,8.12099337748344,3.47835382702028,0.0005792016754398,0.452674834052308,-0.397647352052229,59,True,1000,Higher in AD
STX3,11747878_a_at,LOC6809,0.234561645203453,5.36835099337748,3.47661230876923,0.0005828285396887,0.452674834052308,-0.402909273739941,60,True,1000,Higher in AD
DBP,11731661_s_at,LOC1628,-0.13746070133857,4.38956291390728,-3.47083051911916,0.0005950225802203,0.452674834052308,-0.420361409446931,61,True,1000,Lower in AD
MAPK14,11742487_a_at,LOC1432,0.212274279082925,6.64167880794702,3.46276852246335,0.0006124244831183,0.452674834052308,-0.44465189103589,62,True,1000,Higher in AD
CKB,11753004_a_at,LOC1152,-0.234446929271754,4.5306059602649,-3.45905633961469,0.0006205962864336,0.452674834052308,-0.4558191648994,63,True,1000,Lower in AD
SEPHS2,11743803_s_at,LOC22928,0.103444574801532,7.60044701986755,3.45287379918032,0.0006344328994601,0.452674834052308,-0.474393610278891,64,True,1000,Higher in AD
NFIL3,11743010_at,LOC4783,0.199214084915851,7.79095033112583,3.45041390359332,0.0006400179633939,0.452674834052308,-0.481775505604377,65,True,1000,Higher in AD
CDKN1C,11763717_a_at,LOC1028,-0.269989924975722,8.26780463576159,-3.44997227366042,0.0006410255146152,0.452674834052308,-0.48310028162427,66,True,1000,Lower in AD
TLR2,11736274_at,LOC7097,0.243522929933676,7.27655960264901,3.44547082810549,0.0006513802031264,0.452674834052308,-0.496594595996311,67,True,1000,Higher in AD
C9ORF116,11724109_a_at,LOC138162,-0.0841574096407146,2.31264900662252,-3.44530016037397,0.0006517758497069,0.452674834052308,-0.497105901568863,68,True,1000,Lower in AD
ACSL1,11750700_a_at,LOC2180,0.278322081836368,7.39241721854305,3.44486817836387,0.0006527782861195,0.452674834052308,-0.498399978110485,69,True,1000,Higher in AD
MBOAT1,11753189_a_at,LOC154141,0.0963633685130867,2.1704238410596,3.44352341067834,0.0006559081210426,0.452674834052308,-0.502427509459691,70,True,1000,Higher in AD
SEL1L,11717203_at,LOC6400,0.165872208121694,6.65812913907285,3.42877686149764,0.0006911620056704,0.452674834052308,-0.546498318001717,71,True,1000,Higher in AD
ITGB8,11751989_a_at,LOC3696,-0.0783041794978857,2.2081059602649,-3.42106852874537,0.0007102868382729,0.452674834052308,-0.569466028027203,72,True,1000,Lower in AD
,11764032_at,,-0.259124604618346,8.24991059602649,-3.41922695455988,0.000714928459772,0.452674834052308,-0.574946154987248,73,True,1000,Lower in AD
LPCAT3,11757009_x_at,LOC10162,0.123396807457449,4.81786092715232,3.41063278486575,0.0007369666672376,0.452674834052308,-0.600484740282,74,True,1000,Higher in AD
FBXO38,11757866_s_at,LOC81545,0.115292009889784,7.9032880794702,3.41010369854111,0.0007383439255507,0.452674834052308,-0.602055054783321,75,True,1000,Higher in AD
KCNH7,11737809_at,LOC90134,0.214968036288143,5.03926821192053,3.40958695212395,0.0007396913808262,0.452674834052308,-0.603588528882328,76,True,1000,Higher in AD
MOSPD2,11743736_at,LOC158747,0.187205520917168,7.3166059602649,3.40855924894788,0.000742378019013,0.452674834052308,-0.606637661884041,77,True,1000,Higher in AD
EMD,11718429_at,LOC2010,-0.111936448237746,6.78164569536424,-3.40695304591027,0.000746595228851,0.452674834052308,-0.611401478751638,78,True,1000,Lower in AD
FAM209A || FAM209B,11729876_s_at,,0.154579089875981,6.62533112582781,3.39856522258276,0.000768983724593,0.452674834052308,-0.636245316795468,79,True,1000,Higher in AD
CCR5,11748062_s_at,LOC1234,-0.102295034816714,2.70323509933775,-3.39719122358035,0.0007727103287955,0.452674834052308,-0.640309593849832,80,True,1000,Lower in AD
DDR2,11759442_s_at,LOC4921,0.0642967234646638,2.01482119205298,3.39264868072731,0.0007851510405831,0.452674834052308,-0.653735649006687,81,True,1000,Higher in AD
ABHD3,11746269_a_at,LOC171586,0.217517099382424,5.20606291390729,3.39215388242648,0.0007865173767816,0.452674834052308,-0.655197090625678,82,True,1000,Higher in AD
BCL6,11720746_s_at,LOC604,0.0808636881238044,11.7209536423841,3.39143355643069,0.0007885104505221,0.452674834052308,-0.657324303181161,83,True,1000,Higher in AD
SULT1B1,11734451_at,LOC27284,0.278419794846935,6.00743377483444,3.38927250396229,0.0007945181825737,0.452674834052308,-0.663703669930097,84,True,1000,Higher in AD
HECW2,11730580_s_at,LOC57520,0.322491623525227,5.78182781456954,3.38891389573799,0.0007955192351016,0.452674834052308,-0.66476190995045,85,True,1000,Higher in AD
PISD,11756516_a_at,LOC23761,0.139347023240646,9.59523841059603,3.38708809398745,0.0008006342162782,0.452674834052308,-0.670148189782196,86,True,1000,Higher in AD
ARHGEF12,11761978_at,,-0.353854785050864,4.96204966887417,-3.37904490980635,0.0008235345015381,0.452674834052308,-0.693844541459385,87,True,1000,Lower in AD
ABCA1,11739502_a_at,LOC19,0.273092119065696,3.04954304635762,3.37783064314357,0.000827044316705,0.452674834052308,-0.697417441925785,88,True,1000,Higher in AD
CREB5,11722971_a_at,LOC9586,0.169075806483049,9.82096688741722,3.37376225645768,0.0008389058152863,0.452674834052308,-0.709379798207624,89,True,1000,Higher in AD
DUSP13,11728562_a_at,LOC51207,0.308744901241707,3.92420529801324,3.37298752609808,0.0008411824620778,0.452674834052308,-0.711656250189106,90,True,1000,Higher in AD
FLOT1,11743045_a_at,LOC10211,0.164365408004241,5.84828145695364,3.37236892317343,0.0008430044418049,0.452674834052308,-0.713473595235353,91,True,1000,Higher in AD
LAMP2,11748160_s_at,LOC3920,0.16374548310229,7.92860264900662,3.37115722153155,0.0008465839477635,0.452674834052308,-0.717032470116603,92,True,1000,Higher in AD
LIMK2,11733509_a_at,LOC3985,0.238103812468875,7.03697350993377,3.36548886327529,0.0008635178634152,0.452674834052308,-0.733665314651921,93,True,1000,Higher in AD
CCPG1,11723009_at,LOC9236,0.206001220448399,4.27806291390729,3.36368261625295,0.0008689799035522,0.452674834052308,-0.738960032560136,94,True,1000,Higher in AD
ABCG1,11725515_a_at,LOC9619,0.222652798934807,9.70967218543046,3.36309120301517,0.0008707753054503,0.452674834052308,-0.740693095433818,95,True,1000,Higher in AD
PRDM1,11726217_a_at,LOC639,0.244403163396878,5.55043046357616,3.35891919494568,0.0008835391464031,0.454525669627767,-0.75291067897826,96,True,1000,Higher in AD
LONRF3,11755304_a_at,LOC79836,0.178925402196913,3.05288410596026,3.3559315754738,0.0008927863421282,0.454547899921067,-0.761651244229177,97,True,1000,Higher in AD
ABCG1,11725517_x_at,LOC9619,0.231199422656328,9.73500331125828,3.35184232873894,0.0009055894725088,0.456361649891062,-0.773603118348579,98,True,1000,Higher in AD
HAL,11752202_a_at,LOC3034,0.262289714573763,5.8772417218543,3.34881400915007,0.0009151809106135,0.45653661062185,-0.782445513419954,99,True,1000,Higher in AD
SH3GLB1,11746324_a_at,LOC51100,0.14006123962125,8.50528145695364,3.34209591563984,0.0009367975102448,0.462646818409522,-0.802035408723026,100,True,1000,Higher in AD
BCL7A,11740108_a_at,LOC605,-0.248059206147737,5.71036092715232,-3.33443683721155,0.0009620214199223,0.470399899448349,-0.824324998061733,101,True,1000,Lower in AD
USP47,11743614_a_at,LOC55031,-0.153465323159723,6.23440728476821,-3.31880714881503,0.0010154683808015,0.473037532048113,-0.869664559163695,102,True,1000,Lower in AD
LIMK2,11739042_x_at,LOC3985,0.15224783223574,5.47538741721854,3.3173667844643,0.0010205303695685,0.473037532048113,-0.873832972370312,103,True,1000,Higher in AD
EGLN1,11733857_x_at,LOC54583,0.15213489399326,7.49819867549669,3.31605840380123,0.0010251488516953,0.473037532048113,-0.877617978461411,104,True,1000,Higher in AD
RAD23B,11745206_x_at,LOC5887,0.162561949960163,5.61733112582781,3.31296432346735,0.0010361481730075,0.473037532048113,-0.886563344538531,105,True,1000,Higher in AD
LIMK2,11750802_x_at,LOC3985,0.197759110823638,4.76617549668874,3.31134008028405,0.001041966123199,0.473037532048113,-0.891256147829446,106,True,1000,Higher in AD
CDKN1C,11763718_x_at,LOC1028,-0.261682817781585,8.23253642384106,-3.30960418889356,0.001048217565358,0.473037532048113,-0.896269180921006,107,True,1000,Lower in AD
OSBPL8,11755548_a_at,LOC114882,0.119455040284898,9.7515,3.3095019620748,0.0010485867986662,0.473037532048113,-0.896564323331255,108,True,1000,Higher in AD
ACSL1,11716302_s_at,LOC2180,0.148802827846723,10.8428145695364,3.3005007520471,0.0010815765799948,0.473037532048113,-0.92251903064648,109,True,1000,Higher in AD
FNDC3B,11717715_at,LOC64778,0.245150110337783,3.04614900662252,3.29884889626733,0.0010877344895585,0.473037532048113,-0.927275020195752,110,True,1000,Higher in AD
VWA9,11747587_a_at,LOC81556,-0.112680602705769,5.62858940397351,-3.29777659308087,0.0010917493270402,0.473037532048113,-0.930361197302218,111,True,1000,Lower in AD
ITCH,11749666_a_at,LOC83737,0.140012140581514,6.4322880794702,3.29519588049123,0.0011014683701987,0.473037532048113,-0.937784904089196,112,True,1000,Higher in AD
DGAT2,11722642_a_at,LOC84649,0.244780158238183,7.34795364238411,3.28775932555759,0.0011299262083203,0.473037532048113,-0.959146969048557,113,True,1000,Higher in AD
GALK2,11749178_a_at,LOC2585,0.13939872429715,5.81119205298013,3.28530171206826,0.0011394800632748,0.473037532048113,-0.966196849697273,114,True,1000,Higher in AD
RICTOR,11722098_a_at,LOC253260,0.152974790276285,3.84221523178808,3.284659230715,0.0011419900234377,0.473037532048113,-0.968039061131576,115,True,1000,Higher in AD
MCTP1,11762549_at,LOC79772,0.195206446238503,6.34326158940397,3.28380660292037,0.0011453288866742,0.473037532048113,-0.970483319603008,116,True,1000,Higher in AD
KDM5D,11726813_a_at,LOC8284,-0.150843977625424,5.4230761589404,-3.28258474551165,0.0011501294527097,0.473037532048113,-0.973985039835257,117,True,1000,Lower in AD
TANC2,11754329_a_at,LOC26115,0.207766262941605,6.5762880794702,3.28169471443918,0.0011536380621023,0.473037532048113,-0.976535021347081,118,True,1000,Higher in AD
AQP9,11725702_a_at,LOC366,0.107428014510683,11.2324668874172,3.28143491084144,0.001154664112175,0.473037532048113,-0.977279250602368,119,True,1000,Higher in AD
FUT7,11740163_at,LOC2529,0.162364296024145,3.56309271523179,3.27997165119142,0.0011604588557467,0.473037532048113,-0.981469864227171,120,True,1000,Higher in AD
C9ORF78,11721829_at,LOC51759,-0.183418024381939,9.97978476821192,-3.27963012784322,0.0011618152253767,0.473037532048113,-0.982447700718657,121,True,1000,Lower in AD
SPINK8,11734543_at,LOC646424,0.269202624499761,4.07060264900662,3.27666549306523,0.0011736513758857,0.473037532048113,-0.990931975689925,122,True,1000,Higher in AD
UBE2W,11750058_a_at,LOC55284,0.175891834842267,4.75804304635762,3.27136671393737,0.0011950858433039,0.473037532048113,-1.00607850732531,123,True,1000,Higher in AD
MEFV,11752332_x_at,LOC4210,0.154747743956509,5.51486092715232,3.26998168120903,0.0012007481524431,0.473037532048113,-1.01003388070825,124,True,1000,Higher in AD
C3,11715393_a_at,LOC718,-0.314939763990048,4.43802649006622,-3.26577342254644,0.0012181055861031,0.473037532048113,-1.0220423166228,125,True,1000,Lower in AD
PGM1,11756127_a_at,LOC5236,0.122049326306032,7.74551655629139,3.26572096108942,0.0012183234317498,0.473037532048113,-1.02219192728248,126,True,1000,Higher in AD
IL1R1,11718025_at,LOC3554,0.282571720533575,6.22482781456954,3.26478369289312,0.0012222215278734,0.473037532048113,-1.02486447347017,127,True,1000,Higher in AD
CCNE1,11724407_s_at,LOC898,-0.260526307595053,5.52671523178808,-3.26387023065831,0.0012260317519572,0.473037532048113,-1.02746845632744,128,True,1000,Lower in AD
SH3GLB1,11718846_a_at,LOC51100,0.14047641411247,7.98866556291391,3.25917270238756,0.001245800763041,0.476938887469338,-1.04084893433614,129,True,1000,Higher in AD
LINC00266-1,11760088_x_at,LOC140849,0.217777764731683,5.84634768211921,3.25544600278429,0.0012616941441482,0.479307900022364,-1.05145141670499,130,True,1000,Higher in AD
ARID3B,11748808_a_at,LOC10620,0.109730242749327,8.08605629139073,3.24581572633124,0.001303640099509,0.488464226414318,-1.07879763747087,131,True,1000,Higher in AD
ASPH,11759707_at,LOC444,0.0764894576317842,2.11499006622517,3.24537777593669,0.0013055780562647,0.488464226414318,-1.08003946323853,132,True,1000,Higher in AD
MAP3K2,11754680_a_at,LOC10746,0.0946920222733249,9.99631125827815,3.23996373022027,0.0013297572510967,0.491490061112817,-1.09537839509825,133,True,1000,Higher in AD
LSMEM1,11730513_a_at,LOC286006,0.255745335704189,5.94026490066225,3.23911843826909,0.0013335695984513,0.491490061112817,-1.0977711144105,134,True,1000,Higher in AD
IGSF6,11761745_at,,0.215938299349937,6.30306622516556,3.22911692274542,0.0013794533333837,0.496560272399625,-1.126037942565,135,True,1000,Higher in AD
NAMPT,11743111_s_at,LOC10135,0.16176489345864,10.5773112582781,3.22530534800976,0.001397321470983,0.496560272399625,-1.13678911637681,136,True,1000,Higher in AD
RAD23B,11745264_a_at,LOC5887,0.163758878816349,5.51463245033113,3.22325897045874,0.001407002864941,0.496560272399625,-1.14255640804984,137,True,1000,Higher in AD
STXBP5,11739642_a_at,LOC134957,0.178816094580587,5.92148344370861,3.22122380408514,0.0014166928339632,0.496560272399625,-1.14828873991159,138,True,1000,Higher in AD
SAP30L,11720378_a_at,LOC79685,0.136589071314026,7.63801655629139,3.21978753063401,0.0014235684912559,0.496560272399625,-1.15233218664896,139,True,1000,Higher in AD
DUSP5,11717863_a_at,LOC1847,-0.178756267412914,8.5347119205298,-3.21812235188859,0.0014315786481002,0.496560272399625,-1.15701796382822,140,True,1000,Lower in AD
TLR8,11726947_a_at,LOC51311,0.191977618684311,7.77166556291391,3.21759250314802,0.0014341361705201,0.496560272399625,-1.15850847570878,141,True,1000,Higher in AD
MCTP2,11752249_a_at,LOC55784,0.20979023971935,3.98836092715232,3.21212001780392,0.0014608000184582,0.496560272399625,-1.17388975907952,142,True,1000,Higher in AD
CD177,11730764_a_at,LOC57126,0.36300452083478,3.42596357615894,3.21187847402555,0.0014619874173986,0.496560272399625,-1.1745680967522,143,True,1000,Higher in AD
LIMK2,11734741_x_at,LOC3985,0.17816455985132,5.30621523178808,3.21145602097038,0.001464066292857,0.496560272399625,-1.17575437597455,144,True,1000,Higher in AD
FAM46C,11739339_s_at,LOC54855,-0.331834803450201,10.1252582781457,-3.20906439753386,0.0014758870950932,0.496560272399625,-1.18246750281211,145,True,1000,Lower in AD
CALCRL || ENSG00000213952,11761796_at,,0.159764685827506,2.79386092715232,3.20841593136348,0.0014791073916663,0.496560272399625,-1.18428690492768,146,True,1000,Higher in AD
C19ORF59,11725889_at,LOC199675,0.235792890418329,5.65698675496689,3.20730379179502,0.0014846454535068,0.496560272399625,-1.18740644224604,147,True,1000,Higher in AD
FBXL13,11740804_a_at,LOC222235,0.305621842300294,4.80282119205298,3.20661356712734,0.0014880921782518,0.496560272399625,-1.18934200936092,148,True,1000,Higher in AD
SESN3,11731901_a_at,LOC143686,-0.378318984762036,7.98257947019868,-3.19918663453444,0.0015256512224863,0.500852184641764,-1.21014459182221,149,True,1000,Lower in AD
LAT2,11737890_x_at,LOC7462,0.145622421369935,7.21431125827815,3.19604395611967,0.0015418068612645,0.500852184641764,-1.21893365459121,150,True,1000,Higher in AD
OTUD7B,11751243_a_at,LOC56957,0.0926617374700204,2.79148675496689,3.19385614018943,0.0015531471460386,0.500852184641764,-1.22504754244659,151,True,1000,Higher in AD
SVIL,11728498_a_at,LOC6840,0.162757909689692,9.22272185430464,3.19225022751758,0.0015615202776988,0.500852184641764,-1.22953282007333,152,True,1000,Higher in AD
SVIL,11745431_a_at,LOC6840,0.163100111987687,9.26483443708609,3.19186040107576,0.0015635591004085,0.500852184641764,-1.23062128077958,153,True,1000,Higher in AD
LRRC4,11726061_a_at,LOC64101,0.252845642808734,6.90241390728477,3.18958773325086,0.001575494456964,0.500852184641764,-1.23696449432217,154,True,1000,Higher in AD
FAM209A,11729875_at,LOC200232,0.164141855969571,6.07100993377483,3.18949642361973,0.0015759757442162,0.500852184641764,-1.2372192598398,155,True,1000,Higher in AD
PTPRB,11733229_a_at,LOC5787,0.0650845349330775,2.00690397350993,3.18089746714325,0.0016219148202755,0.500852184641764,-1.26118110968843,156,True,1000,Higher in AD
TGFBR1,11746441_a_at,LOC7046,0.22357079870209,4.27878476821192,3.17735555584118,0.0016411948196186,0.500852184641764,-1.27103353719973,157,True,1000,Higher in AD
LINC01000,11745798_x_at,LOC402483,0.134139694363552,10.1999304635762,3.17464637402875,0.0016560847748638,0.500852184641764,-1.27856270704857,158,True,1000,Higher in AD
FASTKD5,11719477_a_at,LOC60493,0.0975046492217064,7.42809602649007,3.17424628344015,0.001658294272222,0.500852184641764,-1.27967410561861,159,True,1000,Higher in AD
SNORA5B,11757174_x_at,LOC677795,-0.0822208839968258,2.67588741721854,-3.17328160916398,0.0016636328933513,0.500852184641764,-1.28235330783778,160,True,1000,Lower in AD
MGAM,11731271_a_at,LOC8972,0.205916193733382,10.0933774834437,3.17230168909984,0.0016690721534069,0.500852184641764,-1.28507407810054,161,True,1000,Higher in AD
STX3,11719533_a_at,LOC6809,0.194438254994533,7.64968874172185,3.17133387925259,0.0016744603284447,0.500852184641764,-1.28776045807734,162,True,1000,Higher in AD
PELO,11719918_s_at,LOC53918,0.142884919162667,7.02034437086093,3.17013041059016,0.0016811829407277,0.500852184641764,-1.29109990166443,163,True,1000,Higher in AD
CDC42EP3,11720498_at,LOC10602,0.0889388474967229,10.7658476821192,3.16760802814256,0.0016953540776286,0.500852184641764,-1.29809531196334,164,True,1000,Higher in AD
SCGB1D4,11737959_at,LOC404552,-0.065455976220637,2.25624503311258,-3.16643787870728,0.0017019655839202,0.500852184641764,-1.30133877147168,165,True,1000,Lower in AD
