Seed,Gene panel label,Selection rule,Actual probes used,Split,"Subjects, n",Best epoch,GFV dimension,Dropout,Learning rate,Weight decay,Label smoothing,Accuracy,Balanced accuracy,AUC,Precision,Recall / AD sensitivity,CN specificity,F1 score,TN,FP,FN,TP
2024,Top 50,Top 50 limma-ranked probes by raw P value,50,val,45,186,128,0.6,0.0001,0.005,0.05,0.7555555555555555,0.8052884615384616,0.8605769230769231,0.5454545454545454,0.9230769230769231,0.6875,0.6857142857142857,22,10,1,12
2024,Top 50,Top 50 limma-ranked probes by raw P value,50,test,46,186,128,0.6,0.0001,0.005,0.05,0.717391304347826,0.6763392857142857,0.7924107142857144,0.5333333333333333,0.5714285714285714,0.78125,0.5517241379310345,25,7,6,8
2024,Top 100,Top 100 limma-ranked probes by raw P value,100,train,211,117,128,0.6,0.0001,0.005,0.05,0.8672985781990521,0.878056628056628,0.9420849420849421,0.7215189873417721,0.9047619047619048,0.8513513513513513,0.8028169014084507,126,22,6,57
2024,Top 100,Top 100 limma-ranked probes by raw P value,100,val,45,117,128,0.6,0.0001,0.005,0.05,0.7777777777777778,0.84375,0.8774038461538461,0.5652173913043478,1.0,0.6875,0.7222222222222222,22,10,0,13
2024,Top 100,Top 100 limma-ranked probes by raw P value,100,test,46,117,128,0.6,0.0001,0.005,0.05,0.7391304347826086,0.7120535714285714,0.8325892857142857,0.5625,0.6428571428571429,0.78125,0.6,25,7,5,9
2024,Top 250,Top 250 limma-ranked probes by raw P value,250,train,211,69,128,0.6,0.0001,0.005,0.05,0.8815165876777251,0.9064242814242814,0.9771557271557272,0.7261904761904762,0.9682539682539683,0.8445945945945946,0.8299319727891157,125,23,2,61
2024,Top 250,Top 250 limma-ranked probes by raw P value,250,val,45,69,128,0.6,0.0001,0.005,0.05,0.8222222222222222,0.875,0.9375,0.6190476190476191,1.0,0.75,0.7647058823529411,24,8,0,13
2024,Top 250,Top 250 limma-ranked probes by raw P value,250,test,46,69,128,0.6,0.0001,0.005,0.05,0.6956521739130435,0.7008928571428572,0.8169642857142857,0.5,0.7142857142857143,0.6875,0.5882352941176471,22,10,4,10
2024,Top 500,Top 500 limma-ranked probes by raw P value,500,train,211,156,128,0.6,0.0001,0.005,0.05,0.995260663507109,0.9966216216216216,1.0,0.984375,1.0,0.9932432432432432,0.9921259842519685,147,1,0,63
2024,Top 500,Top 500 limma-ranked probes by raw P value,500,val,45,156,128,0.6,0.0001,0.005,0.05,0.7777777777777778,0.7980769230769231,0.90625,0.5789473684210527,0.8461538461538461,0.75,0.6875,24,8,2,11
2024,Top 500,Top 500 limma-ranked probes by raw P value,500,test,46,156,128,0.6,0.0001,0.005,0.05,0.7608695652173914,0.7477678571428572,0.859375,0.5882352941176471,0.7142857142857143,0.78125,0.6451612903225806,25,7,4,10
2024,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,train,211,92,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
2024,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,val,45,92,128,0.6,0.0001,0.005,0.05,0.8444444444444444,0.8449519230769231,0.9423076923076923,0.6875,0.8461538461538461,0.84375,0.7586206896551724,27,5,2,11
2024,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,test,46,92,128,0.6,0.0001,0.005,0.05,0.8478260869565217,0.8102678571428572,0.8816964285714285,0.7692307692307693,0.7142857142857143,0.90625,0.7407407407407407,29,3,4,10
2024,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,train,211,85,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
2024,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,val,45,85,128,0.6,0.0001,0.005,0.05,0.8666666666666667,0.8834134615384616,0.9350961538461539,0.7058823529411765,0.9230769230769231,0.84375,0.8,27,5,1,12
2024,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,test,46,85,128,0.6,0.0001,0.005,0.05,0.8695652173913043,0.8258928571428572,0.9107142857142857,0.8333333333333334,0.7142857142857143,0.9375,0.7692307692307693,30,2,4,10
2024,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,train,211,26,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
2024,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,val,45,26,128,0.6,0.0001,0.005,0.05,0.8888888888888888,0.8990384615384616,0.9519230769230769,0.75,0.9230769230769231,0.875,0.8275862068965517,28,4,1,12
2024,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,test,46,26,128,0.6,0.0001,0.005,0.05,0.8043478260869565,0.7589285714285714,0.8526785714285714,0.6923076923076923,0.6428571428571429,0.875,0.6666666666666666,28,4,5,9
