probe_id,locus_link,gene_symbol
11720260_a_at,LOC51592,TRIM33
11720261_a_at,LOC51592,TRIM33
11720262_a_at,LOC4286,MITF
11720263_a_at,LOC4286,MITF
11720264_at,LOC10973,ASCC3
11720265_a_at,LOC80024,SLC8B1
11720266_a_at,LOC93627,TBCK
11720267_a_at,LOC89953,KLC4
11720268_a_at,LOC25998,IBTK
11720269_a_at,LOC25998,IBTK
11720270_a_at,LOC25998,IBTK
11720271_at,LOC140730,RIMS4
11720272_at,LOC140730,RIMS4
11720273_at,LOC84826,SFT2D3
11720274_x_at,LOC84964,ALKBH6
11720275_a_at,LOC8837,CFLAR
11720276_s_at,,TREX1 || ATRIP
11720277_a_at,LOC169611,OLFML2A
11720278_a_at,LOC169611,OLFML2A
11720279_a_at,LOC400451,FAM174B
11720280_at,LOC3778,KCNMA1
11720281_a_at,LOC59271,EVA1C
11720282_at,LOC112939,NACC1
11720283_at,LOC133746,JMY
11720284_at,LOC22906,TRAK1
11720285_s_at,LOC22906,TRAK1
11720286_a_at,LOC22906,TRAK1
11720287_a_at,LOC8476,CDC42BPA
11720288_a_at,LOC8476,CDC42BPA
11720289_a_at,LOC8476,CDC42BPA
11720290_at,LOC23288,IQCE
11720291_s_at,LOC23288,IQCE
11720292_at,LOC389421,LIN28B
11720293_s_at,LOC389421,LIN28B
11720294_a_at,LOC8612,PPAP2C
11720295_x_at,LOC85379,KIAA1671
11720296_at,LOC79666,PLEKHF2
11720297_at,LOC79666,PLEKHF2
11720298_at,LOC3627,CXCL10
11720299_s_at,LOC26097,CHTOP
11720300_a_at,LOC6503,SLA
11720301_a_at,LOC6503,SLA
11720302_a_at,LOC6503,SLA
11720303_s_at,LOC10313,RTN3
11720304_s_at,LOC10313,RTN3
11720305_a_at,LOC10493,VAT1
11720306_at,LOC27230,SERP1
11720307_s_at,LOC27230,SERP1
11720308_x_at,LOC27230,SERP1
11720309_s_at,LOC27230,SERP1
11720310_s_at,LOC27230,SERP1
11720311_a_at,LOC7520,XRCC5
11720312_at,LOC7520,XRCC5
11720313_a_at,LOC533,ATP6V0B
11720314_s_at,LOC533,ATP6V0B
11720315_x_at,LOC533,ATP6V0B
11720316_s_at,LOC57153,SLC44A2
11720317_a_at,LOC1603,DAD1
11720318_a_at,,MROH7-TTC4 || TTC4
11720319_at,LOC10615,SPAG5
11720320_at,LOC204,AK2
11720321_at,LOC204,AK2
11720322_a_at,LOC204,AK2
11720323_s_at,LOC204,AK2
11720324_a_at,LOC5435,POLR2F
11720325_at,LOC5435,POLR2F
11720326_a_at,LOC2487,FRZB
11720327_a_at,LOC5432,POLR2C
11720328_a_at,LOC539,ATP5O
11720329_at,LOC55178,RNMTL1
11720330_at,LOC55299,BRIX1
11720331_at,LOC140606,SELM*
11720332_a_at,LOC8884,SLC5A6
11720333_a_at,LOC8884,SLC5A6
11720334_a_at,LOC57178,ZMIZ1
11720335_s_at,LOC57178,ZMIZ1
11720336_a_at,LOC1912,PHC2
11720337_a_at,LOC79002,C19ORF43
11720338_at,LOC387758,FIBIN
11720339_at,LOC387758,FIBIN
11720340_a_at,LOC6804,STX1A
11720341_at,LOC51079,NDUFA13
11720342_s_at,LOC51079,NDUFA13
11720343_at,LOC11163,NUDT4
11720344_s_at,,C3ORF62 || USP4
11720345_a_at,LOC7375,USP4
11720346_at,LOC79893,GGNBP2
11720347_s_at,LOC79893,GGNBP2
11720348_a_at,LOC79893,GGNBP2
11720349_at,LOC83853,ROPN1L
11720350_a_at,LOC64855,FAM129B
11720351_a_at,LOC2119,ETV5
11720352_at,LOC2119,ETV5
11720353_s_at,LOC2119,ETV5
11720354_a_at,LOC65123,INTS3
11720355_a_at,LOC65123,INTS3
11720356_a_at,LOC60682,SMAP1
11720357_a_at,LOC60682,SMAP1
11720358_s_at,LOC60682,SMAP1
11720359_at,LOC55023,PHIP
11720360_a_at,LOC55023,PHIP
11720361_at,LOC55023,PHIP
11720362_at,LOC55023,PHIP
11720363_at,LOC55023,PHIP
11720364_a_at,,GIMAP1-GIMAP5* || GIMAP5
11720365_a_at,LOC1292,COL6A2
11720366_at,LOC112812,FDX1L
11720367_a_at,LOC23670,TMEM2
11720368_a_at,LOC23670,TMEM2
11720369_at,LOC26953,RANBP6
11720370_x_at,LOC8634,RTCA
11720371_at,LOC8634,RTCA
11720372_at,LOC54997,TESC
11720373_a_at,LOC58497,PRUNE
11720374_x_at,LOC58497,PRUNE
11720375_a_at,LOC58497,PRUNE
11720376_a_at,LOC79685,SAP30L
11720377_s_at,LOC79685,SAP30L
11720378_a_at,LOC79685,SAP30L
11720379_s_at,LOC2588,GALNS
11720380_a_at,LOC3614,IMPDH1
11720381_x_at,LOC27247,NFU1
11720382_at,LOC10228,STX6
11720383_a_at,LOC10228,STX6
11720384_at,LOC10228,STX6
11720385_a_at,LOC9902,MRC2
11720386_x_at,LOC9902,MRC2
11720387_a_at,LOC9902,MRC2
11720388_s_at,LOC714,C1QC
11720389_a_at,LOC25930,PTPN23
11720390_a_at,LOC25930,PTPN23
11720391_a_at,LOC57181,SLC39A10
11720392_at,LOC84440,RAB11FIP4
11720393_at,LOC84440,RAB11FIP4
11720394_at,LOC84440,RAB11FIP4
11720395_a_at,LOC4683,NBN
11720396_x_at,LOC4683,NBN
11720397_a_at,LOC4683,NBN
11720398_a_at,LOC4683,NBN
11720399_s_at,LOC23413,NCS1
11720400_at,LOC23413,NCS1
11720401_at,LOC23413,NCS1
11720402_at,LOC1948,EFNB2
11720403_at,LOC1948,EFNB2
11720404_at,LOC1948,EFNB2
11720405_at,LOC1948,EFNB2
11720406_a_at,LOC9701,PPP6R2
11720407_x_at,LOC9701,PPP6R2
11720408_at,LOC9701,PPP6R2
11720409_s_at,LOC1545,CYP1B1
11720410_s_at,LOC1545,CYP1B1
11720411_s_at,LOC1545,CYP1B1
11720412_a_at,LOC254428,SLC41A1
11720413_at,LOC85026,C9ORF37
11720414_a_at,LOC157922,CAMSAP1
11720415_a_at,LOC157922,CAMSAP1
11720416_a_at,LOC157922,CAMSAP1
11720417_a_at,LOC157922,CAMSAP1
11720418_a_at,LOC8453,CUL2
11720419_at,LOC51517,NCKIPSD
11720420_at,LOC27125,AFF4
11720421_at,LOC27125,AFF4
11720422_s_at,LOC27125,AFF4
11720423_at,LOC27125,AFF4
11720424_a_at,LOC51320,MEX3C
11720425_a_at,LOC5179,PENK
11720426_a_at,LOC23335,WDR7
11720427_a_at,LOC10994,ILVBL
11720428_a_at,LOC51362,CDC40
11720429_at,LOC51362,CDC40
11720430_a_at,LOC94101,ORMDL1
11720431_s_at,LOC1306,COL15A1
11720432_s_at,LOC7942,TFEB
11720433_s_at,LOC23768,FLRT2
11720434_at,LOC1185,CLCN6
11720435_s_at,LOC1185,CLCN6
11720436_a_at,LOC1185,CLCN6
11720437_at,LOC91,ACVR1B
11720438_a_at,LOC91,ACVR1B
11720439_at,LOC91,ACVR1B
11720440_at,LOC25903,OLFML2B
11720441_x_at,LOC25903,OLFML2B
11720442_at,LOC255783,PRR24
11720443_s_at,LOC11177,BAZ1A
11720444_s_at,LOC10613,ERLIN1
11720445_a_at,LOC64324,NSD1
11720446_a_at,LOC64324,NSD1
11720447_s_at,LOC6662,SOX9
11720448_at,LOC6662,SOX9
11720449_a_at,LOC54894,RNF43
11720450_a_at,LOC54894,RNF43
11720451_at,LOC130271,PLEKHH2
11720452_at,LOC130271,PLEKHH2
11720453_x_at,LOC10730,YME1L1
11720454_a_at,LOC10730,YME1L1
11720455_a_at,LOC4076,CAPRIN1
11720456_at,LOC4076,CAPRIN1
11720457_at,LOC4076,CAPRIN1
11720458_at,LOC4076,CAPRIN1
11720459_s_at,LOC4076,CAPRIN1
11720460_x_at,LOC50848,F11R
11720461_a_at,LOC50848,F11R
11720462_at,LOC50848,F11R
11720463_x_at,LOC50848,F11R
11720464_x_at,LOC50848,F11R
11720465_a_at,LOC23517,SKIV2L2
11720466_a_at,LOC23204,ARL6IP1
11720467_s_at,LOC1798,DPAGT1
11720468_x_at,LOC1798,DPAGT1
11720469_a_at,LOC100131187,TSTD1
11720470_a_at,LOC9477,MED20
11720471_a_at,LOC9477,MED20
11720472_a_at,LOC2819,GPD1
11720473_at,,GPD1 || COX14
11720474_a_at,LOC6421,SFPQ
11720475_x_at,LOC6421,SFPQ
11720476_a_at,LOC5340,PLG
11720477_a_at,LOC5340,PLG
11720478_at,LOC56647,BCCIP
11720479_a_at,LOC56647,BCCIP
11720480_x_at,LOC56647,BCCIP
11720481_s_at,LOC5825,ABCD3
11720482_a_at,LOC27434,POLM
11720483_x_at,LOC27434,POLM
11720484_a_at,LOC65005,MRPL9
11720485_s_at,LOC59343,SENP2
11720486_a_at,LOC59343,SENP2
11720487_a_at,LOC23593,HEBP2
11720488_a_at,LOC126393,HSPB6
11720489_a_at,LOC70,ACTC1
11720490_at,LOC70,ACTC1
11720491_a_at,LOC3698,ITIH2
11720492_a_at,LOC5073,PARN
11720493_s_at,LOC126308,MOB3A
11720494_a_at,LOC8727,CTNNAL1
11720495_x_at,LOC10730,YME1L1
11720496_at,LOC3001,GZMA
11720497_at,LOC29079,MED4
11720498_at,LOC10602,CDC42EP3
11720499_at,LOC10602,CDC42EP3
11720500_a_at,LOC144363,LYRM5
11720501_a_at,LOC10277,UBE4B
11720502_s_at,LOC10277,UBE4B
11720503_a_at,LOC224,ALDH3A2
11720504_s_at,LOC51560,RAB6B
11720505_a_at,LOC51560,RAB6B
11720506_a_at,LOC51560,RAB6B
11720507_at,LOC2200,FBN1
11720508_at,LOC2200,FBN1
11720509_a_at,LOC2200,FBN1
11720510_a_at,LOC60489,APOBEC3G
11720511_a_at,LOC23589,CARHSP1
11720512_at,LOC23589,CARHSP1
11720513_at,LOC6615,SNAI1
11720514_at,LOC286343,LURAP1L
11720515_s_at,LOC286343,LURAP1L
11720516_a_at,LOC57659,ZBTB4
11720517_a_at,LOC57659,ZBTB4
11720518_a_at,LOC10579,TACC2
11720519_s_at,,LOC100996724 || PDE4DIP
11720520_s_at,,LOC101930325 || PDE4DIP
11720521_at,LOC9828,ARHGEF17
11720522_a_at,LOC50814,NSDHL
11720523_at,LOC9136,RRP9
11720524_a_at,LOC89781,HPS4
11720525_a_at,LOC89781,HPS4
11720526_s_at,LOC5037,PEBP1
11720527_at,LOC4053,LTBP2
11720528_at,LOC4053,LTBP2
11720529_at,LOC221895,JAZF1
11720530_at,LOC221895,JAZF1
11720531_at,LOC203228,C9ORF72
11720532_s_at,LOC203228,C9ORF72
11720533_a_at,LOC3158,HMGCS2
11720534_a_at,LOC84975,MFSD5
11720535_a_at,LOC326625,MMAB
11720536_at,LOC326625,MMAB
11720537_at,LOC326625,MMAB
11720538_at,LOC55640,FLVCR2
11720539_at,LOC55640,FLVCR2
11720540_a_at,LOC29882,ANAPC2
11720541_at,LOC29094,LGALSL
11720542_a_at,LOC148789,B3GALNT2
11720543_at,LOC148789,B3GALNT2
11720544_x_at,,AGPAT2
11720545_at,LOC23357,ANGEL1
11720546_at,LOC23357,ANGEL1
11720547_a_at,LOC23590,PDSS1
11720548_at,LOC221092,HNRNPUL2
11720549_a_at,LOC5190,PEX6
11720550_a_at,LOC23310,NCAPD3
11720551_a_at,LOC25900,IFFO1
11720552_a_at,LOC25900,IFFO1
11720553_a_at,LOC79364,ZXDC
11720554_a_at,LOC23370,ARHGEF18
11720555_a_at,LOC116461,TSEN15
11720556_x_at,LOC116461,TSEN15
11720557_at,LOC60487,TRMT11
11720558_a_at,LOC2669,GEM
11720559_a_at,LOC2326,FMO1
11720560_a_at,LOC7629,ZNF76
11720561_x_at,LOC10038,PARP2
11720562_a_at,LOC5362,PLXNA2
11720563_at,LOC5362,PLXNA2
11720564_a_at,LOC89797,NAV2
11720565_a_at,LOC89797,NAV2
11720566_at,LOC586,BCAT1
11720567_a_at,LOC8541,PPFIA3
11720568_x_at,LOC8541,PPFIA3
11720569_a_at,LOC25791,NGEF
11720570_a_at,LOC23338,JADE2
11720571_a_at,LOC23338,JADE2
11720572_x_at,LOC23338,JADE2
11720573_at,LOC5205,ATP8B1
11720574_s_at,LOC5205,ATP8B1
11720575_s_at,LOC1384,CRAT
11720576_a_at,LOC10565,ARFGEF1
11720577_a_at,LOC10565,ARFGEF1
11720578_a_at,LOC8654,PDE5A
11720579_a_at,LOC8654,PDE5A
11720580_a_at,LOC6938,TCF12
11720581_s_at,LOC6938,TCF12
11720582_a_at,LOC6938,TCF12
11720583_s_at,LOC6938,TCF12
11720584_x_at,LOC6938,TCF12
11720585_a_at,LOC23347,SMCHD1
11720586_at,LOC23347,SMCHD1
11720587_s_at,LOC23347,SMCHD1
11720588_a_at,LOC51171,HSD17B14
11720589_s_at,LOC51317,PHF21A
11720590_a_at,LOC51317,PHF21A
11720591_a_at,LOC51317,PHF21A
11720592_a_at,LOC55869,HDAC8
11720593_s_at,LOC1741,DLG3
11720594_a_at,LOC1741,DLG3
11720595_a_at,LOC4179,CD46
11720596_at,LOC81566,CSRNP2
11720597_s_at,LOC81566,CSRNP2
11720598_x_at,LOC10923,SUB1
11720599_s_at,LOC10923,SUB1
11720600_a_at,LOC832,CAPZB
11720601_x_at,LOC23208,SYT11
11720602_at,LOC23208,SYT11
11720603_a_at,LOC2040,STOM
11720604_x_at,LOC2040,STOM
11720605_a_at,LOC5425,POLD2
11720606_a_at,LOC6423,SFRP2
11720607_a_at,LOC6423,SFRP2
11720608_a_at,LOC6285,S100B
11720609_at,LOC5245,PHB
11720610_x_at,LOC5245,PHB
11720611_a_at,LOC266812,NAP1L5
11720612_x_at,LOC266812,NAP1L5
11720613_a_at,LOC55140,ELP3
11720614_s_at,LOC1207,CLNS1A
11720615_a_at,LOC27175,TUBG2
11720616_a_at,LOC1759,DNM1
11720617_at,LOC114088,TRIM9
11720618_s_at,LOC114088,TRIM9
11720619_a_at,LOC148223,C19ORF25
11720620_s_at,LOC47,ACLY
11720621_s_at,LOC47,ACLY
11720622_a_at,LOC5127,CDK16
11720623_a_at,LOC4615,MYD88
11720624_a_at,LOC4615,MYD88
11720625_a_at,LOC27430,MAT2B
11720626_s_at,LOC9987,HNRNPDL
11720627_a_at,LOC51382,ATP6V1D
11720628_s_at,LOC51382,ATP6V1D
11720629_a_at,LOC9897,KIAA0196
11720630_a_at,LOC79622,SNRNP25
11720631_a_at,LOC6390,SDHB
11720632_x_at,LOC6390,SDHB
11720633_a_at,LOC2318,FLNC
11720634_a_at,LOC65999,LRRC61
11720635_a_at,LOC513,ATP5D
11720636_s_at,LOC122961,ISCA2
11720637_x_at,LOC1525,CXADR
11720638_a_at,LOC84320,ACBD6
11720639_a_at,LOC23107,MRPS27
11720640_x_at,LOC23107,MRPS27
11720641_x_at,LOC23107,MRPS27
11720642_a_at,LOC3712,IVD
11720643_a_at,LOC3712,IVD
11720644_a_at,LOC5175,PECAM1
11720645_at,LOC9517,SPTLC2
11720646_at,LOC9517,SPTLC2
11720647_a_at,LOC701,BUB1B
11720648_a_at,LOC51447,IP6K2
11720649_a_at,LOC84261,FBXW9
11720650_a_at,LOC54935,DUSP23
11720651_x_at,LOC54935,DUSP23
11720652_a_at,LOC56987,BBX
11720653_a_at,LOC56987,BBX
11720654_a_at,LOC56987,BBX
11720655_s_at,LOC56987,BBX
11720656_a_at,LOC56987,BBX
11720657_x_at,LOC3127,HLA-DRB5
11720658_a_at,LOC23677,SH3BP4
11720659_at,LOC1025,CDK9
11720660_s_at,LOC1025,CDK9
11720661_at,LOC1025,CDK9
11720662_at,LOC115939,TSR3
11720663_a_at,LOC2767,GNA11
11720664_at,LOC2767,GNA11
11720665_s_at,LOC10492,SYNCRIP
11720666_at,LOC10492,SYNCRIP
11720667_a_at,LOC8850,KAT2B
11720668_at,LOC8850,KAT2B
11720669_at,LOC8850,KAT2B
11720670_a_at,LOC51375,SNX7
11720671_x_at,LOC51375,SNX7
11720672_a_at,LOC5494,PPM1A
11720673_a_at,LOC5494,PPM1A
11720674_a_at,LOC5494,PPM1A
11720675_a_at,LOC9973,CCS
11720676_s_at,LOC9973,CCS
11720677_a_at,LOC114897,C1QTNF1
11720678_a_at,LOC90993,CREB3L1
11720679_a_at,,CKLF-CMTM1 || CKLF
11720680_a_at,LOC1606,DGKA
11720681_at,LOC92610,TIFA
11720682_at,LOC92610,TIFA
11720683_at,LOC126792,B3GALT6
11720684_at,LOC126792,B3GALT6
11720685_at,LOC30850,CDR2L
11720686_at,LOC30850,CDR2L
11720687_at,LOC29911,HOOK2
11720688_a_at,LOC7692,ZNF133
11720689_s_at,LOC84331,FAM195A
11720690_a_at,LOC54978,SLC35F6
11720691_at,LOC148252,DIRAS1
11720692_at,LOC148252,DIRAS1
11720693_a_at,LOC53342,IL17D
11720694_a_at,LOC113802,HENMT1
11720695_at,LOC79630,C1ORF54
11720696_a_at,LOC51564,HDAC7
11720697_a_at,LOC51564,HDAC7
11720698_a_at,LOC80230,RUFY1
11720699_at,LOC1358,CPA2
11720700_a_at,LOC257044,C1ORF101
11720701_x_at,LOC257044,C1ORF101
11720702_a_at,LOC54956,PARP16
11720703_at,LOC4635,MYL4
11720704_s_at,LOC7164,TPD52L1
11720705_a_at,LOC55850,USE1
11720706_at,LOC28952,CCDC22
11720707_at,LOC56647,BCCIP
11720708_a_at,LOC5468,PPARG
11720709_x_at,LOC23095,KIF1B
11720710_a_at,LOC23095,KIF1B
11720711_a_at,LOC84461,NEURL4
11720712_a_at,LOC10008,KCNE3
11720713_a_at,LOC10008,KCNE3
11720714_at,LOC123606,NIPA1
11720715_at,LOC123606,NIPA1
11720716_a_at,LOC2258,FGF13
11720717_a_at,LOC2258,FGF13
11720718_a_at,,GNB1L || C22ORF29
11720719_x_at,,GNB1L || C22ORF29
11720720_a_at,,GNB1L || C22ORF29
11720721_s_at,LOC22800,RRAS2
11720722_x_at,LOC57455,REXO1
11720723_at,LOC79797,ZNF408
11720724_at,LOC79699,ZYG11B
11720725_at,LOC79699,ZYG11B
11720726_at,LOC197131,UBR1
11720727_at,LOC197131,UBR1
11720728_at,LOC197131,UBR1
11720729_at,LOC27254,CSDC2
11720730_at,LOC27254,CSDC2
11720731_a_at,LOC285362,SUMF1
11720732_a_at,LOC285362,SUMF1
11720733_a_at,LOC3636,INPPL1
11720734_s_at,LOC3636,INPPL1
11720735_s_at,LOC9684,LRRC14
11720736_a_at,LOC9684,LRRC14
11720737_a_at,LOC84527,ZNF559
11720738_at,LOC3707,ITPKB
11720739_s_at,LOC3707,ITPKB
11720740_a_at,LOC23263,MCF2L
11720741_a_at,LOC100289635,ZNF605
11720742_a_at,LOC100289635,ZNF605
11720743_x_at,LOC54677,CROT
11720744_a_at,LOC54677,CROT
11720745_a_at,LOC604,BCL6
11720746_s_at,LOC604,BCL6
11720747_a_at,LOC113,ADCY7
11720748_a_at,LOC8425,LTBP4
11720749_a_at,LOC11185,INMT
11720750_a_at,LOC11185,INMT
11720751_a_at,LOC3628,INPP1
11720752_at,LOC4967,OGDH
11720753_s_at,LOC6383,SDC2
11720754_x_at,LOC60,ACTB
11720755_at,LOC6774,STAT3
11720756_at,LOC6774,STAT3
11720757_a_at,LOC10625,IVNS1ABP
11720758_s_at,LOC10625,IVNS1ABP
11720759_s_at,LOC10625,IVNS1ABP
11720760_x_at,LOC10625,IVNS1ABP
11720761_a_at,LOC26273,FBXO3
11720762_a_at,LOC26273,FBXO3
11720763_a_at,LOC6404,SELPLG
11720764_a_at,LOC1861,TOR1A
11720765_s_at,LOC1861,TOR1A
11720766_a_at,LOC51108,METTL9
11720767_s_at,LOC51108,METTL9
11720768_at,LOC51108,METTL9
11720769_a_at,LOC10105,PPIF
11720770_a_at,LOC10105,PPIF
11720771_x_at,LOC10105,PPIF
11720772_s_at,LOC10105,PPIF
11720773_x_at,LOC131118,DNAJC19
11720774_s_at,LOC131118,DNAJC19
11720775_s_at,LOC9025,RNF8
11720776_a_at,LOC9025,RNF8
11720777_x_at,LOC27343,POLL
11720778_a_at,LOC84861,KLHL22
11720779_a_at,LOC84861,KLHL22
11720780_a_at,LOC57535,KIAA1324
11720781_a_at,LOC1017,CDK2
11720782_a_at,LOC1017,CDK2
11720783_a_at,LOC8721,EDF1
11720784_a_at,LOC86,ACTL6A
11720785_a_at,LOC11129,CLASRP
11720786_a_at,LOC51143,DYNC1LI1
11720787_a_at,LOC51143,DYNC1LI1
11720788_at,LOC25842,ASF1A
11720789_at,LOC25842,ASF1A
11720790_s_at,LOC25842,ASF1A
11720791_a_at,LOC389,RHOC
11720792_a_at,LOC65985,AACS
11720793_x_at,LOC65985,AACS
11720794_a_at,LOC8406,SRPX
11720795_s_at,LOC9818,NUPL1
11720796_x_at,LOC9818,NUPL1
11720797_a_at,LOC26520,TIMM9
11720798_at,LOC51762,RAB8B
11720799_s_at,LOC51762,RAB8B
11720800_a_at,LOC51762,RAB8B
11720801_a_at,LOC55909,BIN3
11720802_s_at,LOC55909,BIN3
11720803_at,LOC57402,S100A14
11720804_a_at,LOC79447,PAGR1
11720805_x_at,LOC79447,PAGR1
11720806_a_at,LOC51147,ING4
11720807_x_at,LOC9086,EIF1AY
11720808_a_at,LOC10244,RABEPK
11720809_x_at,LOC80097,MZT2B
11720810_a_at,LOC653784,MZT2A
11720811_a_at,LOC25891,PAMR1
11720812_a_at,LOC79095,C9ORF16
11720813_at,LOC55174,INTS10
11720814_s_at,LOC55174,INTS10
11720815_a_at,LOC79870,BAALC
11720816_a_at,LOC79870,BAALC
11720817_a_at,LOC79870,BAALC
11720818_a_at,LOC6387,CXCL12
11720819_s_at,LOC6387,CXCL12
11720820_at,LOC65991,FUNDC2
11720821_x_at,LOC65991,FUNDC2
11720822_a_at,LOC435,ASL
11720823_at,LOC182,JAG1
11720824_a_at,LOC182,JAG1
11720825_s_at,LOC182,JAG1
11720826_s_at,LOC182,JAG1
11720827_a_at,LOC387103,CENPW
11720828_a_at,LOC64766,S100PBP
11720829_at,LOC64766,S100PBP
11720830_at,LOC81563,C1ORF21
11720831_s_at,LOC81563,C1ORF21
11720832_x_at,LOC54345,SOX18
11720833_at,LOC8089,YEATS4
11720834_a_at,LOC51074,APIP
11720835_a_at,LOC995,CDC25C
11720836_a_at,LOC54453,RIN2
11720837_a_at,LOC7290,HIRA
11720838_a_at,LOC5884,RAD17
11720839_a_at,LOC10285,SMNDC1
11720840_a_at,LOC10285,SMNDC1
11720841_s_at,LOC10285,SMNDC1
11720842_at,LOC29984,RHOD
11720843_at,LOC9683,N4BP1
11720844_at,LOC9683,N4BP1
11720845_a_at,LOC57124,CD248
11720846_at,LOC57124,CD248
11720847_s_at,LOC84295,PHF6
11720848_a_at,LOC84295,PHF6
11720849_a_at,LOC51715,RAB23
11720850_a_at,LOC51715,RAB23
11720851_s_at,LOC4774,NFIA
11720852_s_at,LOC4774,NFIA
11720853_a_at,LOC4774,NFIA
11720854_a_at,LOC4774,NFIA
11720855_a_at,LOC4774,NFIA
11720856_a_at,LOC3643,INSR
11720857_a_at,LOC3643,INSR
11720858_a_at,LOC3643,INSR
11720859_s_at,LOC171586,ABHD3
11720860_s_at,LOC50650,ARHGEF3
11720861_a_at,LOC50650,ARHGEF3
11720862_at,LOC8228,PNPLA4
11720863_at,LOC8228,PNPLA4
11720864_s_at,LOC29957,SLC25A24
11720865_a_at,LOC11020,IFT27
11720866_a_at,LOC26523,AGO1
11720867_x_at,LOC51316,PLAC8
11720868_at,LOC10838,ZNF275
11720869_a_at,LOC23293,SMG6
11720870_a_at,LOC5150,PDE7A
11720871_s_at,LOC5150,PDE7A
11720872_at,LOC56623,INPP5E
11720873_a_at,LOC50488,MINK1
11720874_at,LOC10391,CORO2B
11720875_at,LOC10391,CORO2B
11720876_s_at,LOC10391,CORO2B
11720877_at,LOC25841,ABTB2
11720878_at,LOC25841,ABTB2
11720879_a_at,LOC23523,CABIN1
11720880_s_at,LOC30844,EHD4
11720881_a_at,LOC30844,EHD4
11720882_at,LOC51027,BOLA1
11720883_a_at,LOC124402,UBALD1
11720884_a_at,LOC3145,HMBS
11720885_at,LOC32,ACACB
11720886_at,LOC23361,ZNF629
11720887_at,LOC55558,PLXNA3
11720888_s_at,LOC178,AGL
11720889_a_at,LOC178,AGL
11720890_a_at,LOC178,AGL
11720891_a_at,LOC10868,USP20
11720892_at,LOC6654,SOS1
11720893_s_at,LOC6654,SOS1
11720894_a_at,LOC6654,SOS1
11720895_at,LOC6654,SOS1
11720896_at,LOC54910,SEMA4C
11720897_at,LOC54910,SEMA4C
11720898_a_at,LOC4534,MTM1
11720899_a_at,LOC54762,GRAMD1C
11720900_x_at,LOC54762,GRAMD1C
11720901_a_at,LOC54762,GRAMD1C
11720902_a_at,LOC784,CACNB3
11720903_a_at,LOC784,CACNB3
11720904_s_at,LOC79832,QSER1
11720905_at,LOC79832,QSER1
11720906_a_at,LOC79832,QSER1
11720907_x_at,LOC6405,SEMA3F
11720908_a_at,LOC55604,LRRC16A
11720909_a_at,LOC93109,TMEM44
11720910_a_at,LOC4753,NELL2
11720911_a_at,LOC827,CAPN6
11720912_a_at,LOC827,CAPN6
11720913_a_at,LOC53,ACP2
11720914_x_at,LOC53,ACP2
11720915_x_at,,PGAM1 || LOC643576
11720916_s_at,LOC3312,HSPA8
11720917_a_at,LOC92747,BPIFB1
11720918_a_at,LOC10209,EIF1
11720919_s_at,LOC10209,EIF1
11720920_x_at,LOC10209,EIF1
11720921_s_at,LOC30,ACAA1
11720922_a_at,LOC10866,HCP5
11720923_a_at,LOC10866,HCP5
11720924_at,LOC8557,TCAP
11720925_x_at,LOC8557,TCAP
11720926_a_at,LOC5436,POLR2G
11720927_a_at,LOC6723,SRM
11720928_at,LOC6723,SRM
11720929_a_at,LOC1743,DLST
11720930_s_at,LOC1743,DLST
11720931_x_at,LOC1743,DLST
11720932_s_at,LOC1743,DLST
11720933_s_at,LOC221955,DAGLB
11720934_a_at,LOC221955,DAGLB
11720935_a_at,LOC6628,SNRPB
11720936_a_at,LOC11094,CACFD1
11720937_a_at,LOC51067,YARS2
11720938_a_at,LOC10245,TIMM17B
11720939_a_at,LOC79039,DDX54
11720940_at,LOC79039,DDX54
11720941_at,LOC79039,DDX54
11720942_x_at,LOC79039,DDX54
11720943_a_at,LOC6004,RGS16
11720944_at,LOC6004,RGS16
11720945_x_at,LOC6627,SNRPA1
11720946_at,LOC771,CA12
11720947_x_at,LOC771,CA12
11720948_a_at,LOC771,CA12
11720949_x_at,LOC5203,PFDN4
11720950_at,LOC5203,PFDN4
11720951_a_at,LOC23142,DCUN1D4
11720952_a_at,LOC23142,DCUN1D4
11720953_x_at,LOC9141,PDCD5
11720954_s_at,LOC6156,RPL30
11720955_x_at,LOC57703,CWC22
11720956_a_at,LOC9641,IKBKE
11720957_a_at,LOC9641,IKBKE
11720958_a_at,LOC112483,SAT2
11720959_a_at,LOC23,ABCF1
11720960_a_at,LOC51594,NBAS
11720961_s_at,LOC51594,NBAS
11720962_x_at,LOC1388,ATF6B
11720963_a_at,LOC1633,DCK
11720964_s_at,LOC1633,DCK
11720965_at,LOC1633,DCK
11720966_x_at,LOC1633,DCK
11720967_a_at,LOC29899,GPSM2
11720968_a_at,LOC2618,GART
11720969_a_at,LOC2618,GART
11720970_at,LOC7153,TOP2A
11720971_at,LOC7153,TOP2A
11720972_at,LOC7153,TOP2A
11720973_x_at,LOC140461,ASB8
11720974_at,LOC140461,ASB8
11720975_a_at,LOC147179,WIPF2
11720976_at,LOC147179,WIPF2
11720977_a_at,LOC10352,WARS2
11720978_at,LOC10352,WARS2
11720979_a_at,LOC221120,ALKBH3
11720980_a_at,LOC2185,PTK2B
11720981_a_at,LOC2185,PTK2B
11720982_s_at,LOC2185,PTK2B
11720983_s_at,LOC5706,PSMC6
11720984_at,LOC23467,NPTXR
