probe_id,locus_link,gene_symbol
11715220_s_at,LOC80304,C2ORF44
11715221_x_at,LOC55695,NSUN5
11715222_at,LOC260425,MAGI3
11715223_s_at,LOC122665,RNASE8
11715224_s_at,LOC55289,ACOXL
11715225_s_at,LOC51542,VPS54
11715226_s_at,LOC56142,PCDHA6
11715227_s_at,LOC56141,PCDHA7
11715228_s_at,LOC123264,SLC51B
11715229_s_at,LOC80852,GRIP2
11715230_s_at,LOC50855,PARD6A
11715231_x_at,LOC25873,RPL36
11715232_x_at,LOC25873,RPL36
11715233_s_at,LOC84221,SPATC1L
11715234_s_at,LOC7349,UCN
11715235_x_at,LOC440567,UQCRHL*
11715236_s_at,LOC26025,PCDHGA12
11715237_s_at,LOC6133,RPL9
11715238_x_at,LOC6133,RPL9
11715239_x_at,LOC10410,IFITM3
11715240_at,LOC7738,ZNF184
11715241_s_at,LOC353134,LCE1D
11715242_s_at,LOC84648,LCE3D
11715243_x_at,LOC353137,LCE1F
11715244_x_at,LOC353131,LCE1A
11715245_s_at,LOC3543,IGLL1
11715246_x_at,LOC575,BAI1
11715247_s_at,LOC9681,DEPDC5
11715248_s_at,LOC7180,CRISP2
11715249_s_at,,LOC101060230 || MAGEA12
11715250_s_at,LOC285600,KIAA0825
11715251_at,LOC56548,CHST7
11715252_at,LOC51319,RSRC1
11715253_s_at,,KRTAP10-10 || KRTAP10-6
11715254_s_at,LOC613211,DEFB134
11715255_s_at,LOC259293,TAS2R30
11715256_at,LOC170626,XAGE3
11715257_x_at,LOC170626,XAGE3
11715258_s_at,LOC5763,PTMS
11715259_s_at,LOC3442,IFNA5
11715260_at,LOC51093,RRNAD1
11715261_s_at,,LOC101060301 || LOC649330
11715262_at,LOC4543,MTNR1A
11715263_at,LOC79925,SPEF2
11715264_s_at,LOC2837,UTS2R
11715265_at,LOC9896,FIG4
11715266_s_at,LOC342372,PKD1L3
11715267_s_at,LOC83481,EPPK1
11715268_s_at,,SEPT5-GP1BB* || GP1BB
11715269_x_at,LOC200810,ALG1L
11715270_s_at,LOC8609,KLF7
11715271_s_at,,LOC100288289 || LOC100288325 || LOC100288355 || LOC100288398 || LOC100288433 || LOC100288466 || LOC100288494 || LOC100288523 || LOC100288557 || LOC100288593 || LOC100288627 || LOC100288657 || DUX4L* || LOC100653046 || DUX4 || DUX2 || DUX4L4 || DUX4L7 || DUX4L6 || DUX4L5 || DUX4L3 || DUX4L2
11715272_s_at,LOC10720,UGT2B11
11715273_at,LOC7169,TPM2
11715274_x_at,LOC7169,TPM2
11715275_s_at,LOC6756,SSX1
11715276_s_at,LOC54998,AURKAIP1
11715277_s_at,LOC54998,AURKAIP1
11715278_s_at,LOC54998,AURKAIP1
11715279_x_at,LOC441531,PGAM4
11715280_s_at,LOC3872,KRT17
11715281_at,LOC434,ASIP
11715282_s_at,,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8
11715283_at,LOC886,CCKAR
11715284_x_at,LOC123207,C15ORF40
11715285_at,LOC123207,C15ORF40
11715286_x_at,LOC123207,C15ORF40
11715287_at,LOC123207,C15ORF40
11715288_s_at,LOC23581,CASP14
11715289_s_at,LOC181,AGRP
11715290_s_at,LOC1365,CLDN3
11715291_s_at,LOC6910,TBX5
11715292_at,LOC6489,ST8SIA1
11715293_s_at,LOC83707,TRPT1
11715294_s_at,LOC143279,HECTD2
11715295_s_at,LOC10850,CCL27
11715296_s_at,LOC3883,KRT33A
11715297_at,LOC2395,FXN
11715298_x_at,LOC9047,SH2D2A
11715299_s_at,,PRAMEF8 || PRAMEF7 || PRAMEF24*
11715300_s_at,LOC10214,SSX3
11715301_s_at,LOC51491,NOP16
11715302_s_at,LOC84618,NT5C1A
11715303_s_at,LOC752014,CEMP1
11715304_s_at,LOC5331,PLCB3
11715305_s_at,LOC3206,HOXA10
11715306_s_at,,AREG || AREGB
11715307_s_at,LOC51085,MLXIPL
11715308_s_at,LOC51085,MLXIPL
11715309_s_at,LOC51085,MLXIPL
11715310_s_at,LOC51085,MLXIPL
11715311_s_at,,DEFB103A || DEFB103B
11715312_at,LOC2303,FOXC2
11715313_s_at,LOC3972,LHB
11715314_at,LOC101930037,LOC101930037
11715315_s_at,LOC101930037,LOC101930037
11715316_x_at,LOC3107,HLA-C
11715317_s_at,,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8
11715318_s_at,LOC1557,CYP2C19
11715319_s_at,LOC4100,MAGEA1
11715320_s_at,LOC7273,TTN
11715321_x_at,LOC386681,KRTAP10-8
11715322_s_at,LOC646486,FABP12
11715323_s_at,LOC390010,NKX1-2
11715324_s_at,,PPIAL4A || PPIAL4G || PPIAL4D || PPIAL4B || PPIAL4C || PPIAL4F || PPIAL4E
11715325_at,LOC387804,VSTM5
11715326_s_at,LOC387804,VSTM5
11715327_x_at,,CBWD3 || CBWD1
11715328_at,LOC389762,SPATA31D3
11715329_at,LOC55117,SLC6A15
11715330_x_at,LOC730291,ZNF735
11715331_x_at,LOC79980,DSN1
11715332_at,LOC158046,NXNL2
11715333_s_at,LOC158046,NXNL2
11715334_s_at,LOC158046,NXNL2
11715335_at,LOC128366,OR6P1
11715336_x_at,LOC100131390,SP9
11715337_s_at,,GH1 || GH2
11715338_s_at,LOC340578,DCAF12L2
11715339_at,LOC7273,TTN
11715340_s_at,,CT47A12 || CT47A11 || CT47B1 || CT47A7 || CT47A10 || CT47A9 || CT47A8 || CT47A6 || CT47A5 || CT47A4 || CT47A3 || CT47A2 || CT47A1
11715341_at,LOC80133,MROH9
11715342_at,LOC25798,BRI3
11715343_at,LOC94025,MUC16
11715344_at,LOC2950,GSTP1
11715345_s_at,LOC170689,ADAMTS15
11715346_at,LOC10148,EBI3
11715347_s_at,LOC3043,HBB
11715348_x_at,LOC3043,HBB
11715349_a_at,LOC1350,COX7C
11715350_a_at,LOC1277,COL1A1
11715351_at,LOC1277,COL1A1
11715352_x_at,LOC1277,COL1A1
11715353_s_at,LOC1278,COL1A2
11715354_a_at,LOC1278,COL1A2
11715355_at,LOC1278,COL1A2
11715356_x_at,LOC1278,COL1A2
11715357_s_at,LOC6227,RPS21
11715358_x_at,LOC1471,CST3
11715359_a_at,LOC7076,TIMP1
11715360_x_at,LOC7076,TIMP1
11715361_a_at,LOC8992,ATP6V0E1
11715362_at,LOC8992,ATP6V0E1
11715363_a_at,LOC2,A2M
11715364_a_at,LOC25803,SPDEF
11715365_x_at,LOC25803,SPDEF
11715366_a_at,LOC4735,2-Sep
11715367_s_at,LOC4735,2-Sep
11715368_a_at,LOC710,SERPING1
11715369_s_at,LOC4697,NDUFA4
11715370_s_at,LOC3959,LGALS3BP
11715371_a_at,LOC7317,UBA1
11715372_a_at,LOC4190,MDH1
11715373_a_at,LOC10155,TRIM28
11715374_a_at,LOC811,CALR
11715375_x_at,LOC811,CALR
11715376_a_at,LOC6205,RPS11
11715377_x_at,LOC1327,COX4I1
11715378_x_at,LOC7038,TG
11715379_a_at,LOC55353,LAPTM4B
11715380_s_at,LOC55353,LAPTM4B
11715381_a_at,LOC55353,LAPTM4B
11715382_x_at,LOC23646,PLD3
11715383_a_at,LOC11331,PHB2
11715384_x_at,LOC11331,PHB2
11715385_s_at,LOC54543,TOMM7
11715386_at,LOC5967,REG1A
11715387_at,LOC1026,CDKN1A
11715388_s_at,LOC1026,CDKN1A
11715389_x_at,LOC2280,FKBP1A
11715390_s_at,LOC2280,FKBP1A
11715391_s_at,LOC23787,MTCH1
11715392_x_at,LOC23787,MTCH1
11715393_a_at,LOC718,C3
11715394_s_at,LOC975,CD81
11715395_a_at,,BLOC1S5-TXNDC5 || TXNDC5
11715396_s_at,,BLOC1S5-TXNDC5 || TXNDC5
11715397_x_at,LOC10916,MAGED2
11715398_a_at,LOC328,APEX1
11715399_at,LOC292,SLC25A5
11715400_x_at,LOC292,SLC25A5
11715401_s_at,LOC3608,ILF2
11715402_x_at,,ILF2
11715403_a_at,LOC1291,COL6A1
11715404_a_at,LOC1291,COL6A1
11715405_x_at,LOC1291,COL6A1
11715406_a_at,LOC1291,COL6A1
11715407_s_at,LOC5692,PSMB4
11715408_x_at,LOC5692,PSMB4
11715409_a_at,LOC7001,PRDX2
11715410_x_at,LOC7001,PRDX2
11715411_a_at,LOC2034,EPAS1
11715412_a_at,LOC2034,EPAS1
11715413_s_at,LOC8848,TSC22D1
11715414_x_at,LOC1281,COL3A1
11715415_a_at,LOC1281,COL3A1
11715416_s_at,LOC1642,DDB1
11715417_s_at,,SKP1 || SKP1P2
11715418_x_at,LOC6500,SKP1
11715419_at,LOC4061,LY6E
11715420_a_at,LOC10576,CCT2
11715421_a_at,LOC10576,CCT2
11715422_a_at,LOC10134,BCAP31
11715423_s_at,LOC10134,BCAP31
11715424_x_at,LOC10134,BCAP31
11715425_x_at,LOC2316,FLNA
11715426_s_at,LOC4809,NHP2L1
11715427_at,LOC4809,NHP2L1
11715428_x_at,LOC378,ARF4
11715429_s_at,LOC378,ARF4
11715430_a_at,LOC231,AKR1B1
11715431_a_at,LOC64114,TMBIM1
11715432_a_at,LOC64114,TMBIM1
11715433_a_at,LOC5931,RBBP7
11715434_a_at,LOC10130,PDIA6
11715435_s_at,LOC7078,TIMP3
11715436_at,LOC7078,TIMP3
11715437_at,LOC7078,TIMP3
11715438_at,LOC1611,DAP
11715439_at,LOC1611,DAP
11715440_a_at,LOC1490,CTGF
11715441_a_at,LOC1490,CTGF
11715442_s_at,LOC1490,CTGF
11715443_a_at,LOC1360,CPB1
11715444_at,LOC1360,CPB1
11715445_a_at,LOC3337,DNAJB1
11715446_a_at,LOC3337,DNAJB1
11715447_at,LOC6888,TALDO1
11715448_at,LOC51614,ERGIC3
11715449_x_at,LOC51614,ERGIC3
11715450_at,LOC6134,RPL10
11715451_a_at,LOC1284,COL4A2
11715452_s_at,LOC1284,COL4A2
11715453_a_at,LOC1284,COL4A2
11715454_at,LOC3814,KISS1
11715455_x_at,LOC3814,KISS1
11715456_a_at,LOC6746,SSR2
