Gene symbol,Probe ID / feature ID,LocusLink,limma logFC AD vs CN,Average expression,Moderated t statistic,Raw P value,FDR-adjusted P value,B statistic,Rank by raw P value,Selected for 464-gene panel,Direction in AD,Selected for final GE branch panel,Final GE branch panel,Final GE branch panel size
PVRL4,11748451_a_at,LOC81607,0.0143075423637608,2.19292052980132,0.670107839187557,0.503304508018479,0.977815670604323,-5.56512137793098,25400,False,Higher in AD,False,,
NOTCH2NL,11719214_s_at,LOC388677,-0.0313801278011919,2.74163245033113,-0.670044914812474,0.503344561990945,0.977815670604323,-5.56515957376733,25401,False,Lower in AD,False,,
CSRP1,11730216_x_at,LOC1465,-0.0241234682263076,6.62853642384106,-0.670013631744511,0.503364475589799,0.977815670604323,-5.56517856162732,25402,False,Lower in AD,False,,
HSD3B2,11728663_at,LOC3284,-0.0135579294645145,2.27349668874172,-0.669994066308727,0.503376930406869,0.977815670604323,-5.56519043679587,25403,False,Lower in AD,False,,
CEP44,11736844_s_at,LOC80817,-0.0203332117316791,2.73662582781457,-0.669975033470546,0.503389046343936,0.977815670604323,-5.56520198837463,25404,False,Lower in AD,False,,
POP7,11757488_a_at,LOC10248,-0.025176210121692,7.68087086092715,-0.669934601133595,0.50341478530213,0.977815670604323,-5.56522652684126,25405,False,Lower in AD,False,,
WDR64,11741887_a_at,LOC128025,0.01509045343365,2.32751324503311,0.669928975298533,0.503418366726865,0.977815670604323,-5.56522994105493,25406,False,Higher in AD,False,,
HIST2H2BF,11761405_at,LOC440689,0.0230462833184535,2.4396357615894,0.669916661958569,0.503426205485966,0.977815670604323,-5.56523741368995,25407,False,Higher in AD,False,,
ANAPC11,11741331_x_at,LOC51529,-0.0230437175458314,6.53791059602649,-0.669865616983188,0.503458701768348,0.977815670604323,-5.56526839005337,25408,False,Lower in AD,False,,
HNRNPU,11763725_a_at,LOC3192,0.0226003252685845,10.1984966887417,0.669817591848192,0.503489276574534,0.977815670604323,-5.56529753169524,25409,False,Higher in AD,False,,
CLK3,11761483_a_at,,-0.0273340512180578,3.80373509933775,-0.669812019233921,0.503492824397261,0.977815670604323,-5.56530091302156,25410,False,Lower in AD,False,,
OR9Q2,11759388_at,LOC219957,0.0126599495022047,1.83406953642384,0.669811626724842,0.503493074289923,0.977815670604323,-5.56530115118543,25411,False,Higher in AD,False,,
ZNF813,11741406_s_at,LOC126017,-0.0476239138949347,2.67566225165563,-0.669744448895931,0.503535844325104,0.977815670604323,-5.56534191082222,25412,False,Lower in AD,False,,
MPPED2,11758612_s_at,LOC744,-0.0219064998826837,2.13671854304636,-0.66970396768112,0.503561618386962,0.977815670604323,-5.56536647052389,25413,False,Lower in AD,False,,
AIPL1,11727435_a_at,LOC23746,-0.0260535931768548,3.12748675496689,-0.669679608576088,0.503577127969359,0.977815670604323,-5.5653812483286,25414,False,Lower in AD,False,,
NPC2,11716828_a_at,LOC10577,0.0097938261598175,11.4588741721854,0.66961691150736,0.503617048719717,0.977815670604323,-5.56541928195139,25415,False,Higher in AD,False,,
C2ORF80,11733505_at,LOC389073,-0.015012528142598,2.33669867549669,-0.66959846505418,0.503628794345323,0.977815670604323,-5.5654304713593,25416,False,Lower in AD,False,,
FCHO2,11749457_a_at,LOC115548,0.0327564548056606,3.89698013245033,0.669596455494668,0.503630073924405,0.977815670604323,-5.56543169031663,25417,False,Higher in AD,False,,
ELP3,11748260_a_at,LOC55140,-0.0281189977166869,6.53043377483444,-0.66959509870676,0.503630937854721,0.977815670604323,-5.56543251331406,25418,False,Lower in AD,False,,
AIF1L,11719914_a_at,LOC83543,-0.0208279054974625,2.59500331125828,-0.669526306757008,0.503674741937058,0.977815670604323,-5.56547423880688,25419,False,Lower in AD,False,,
PSD3,11719027_a_at,LOC23362,-0.0305614540648268,3.05523841059603,-0.669523231586354,0.503676700135306,0.977815670604323,-5.56547610394003,25420,False,Lower in AD,False,,
KRTAP3-2,11735840_at,LOC83897,0.0138467318129542,2.19999337748344,0.66944570159881,0.503726070790412,0.977815670604323,-5.56552312411931,25421,False,Higher in AD,False,,
TMEM87B,11739468_at,LOC84910,0.031980408282081,3.77532781456954,0.66943041695638,0.503735804266729,0.977815670604323,-5.56553239326787,25422,False,Higher in AD,False,,
NLRP1,11737423_a_at,LOC22861,0.026133634775041,8.96886092715232,0.669422682383967,0.503740729789773,0.977815670604323,-5.56553708370614,25423,False,Higher in AD,False,,
HILPDA,11743161_x_at,LOC29923,0.0310571950001392,2.73582450331126,0.669407094431999,0.503750656572149,0.977815670604323,-5.5655465364662,25424,False,Higher in AD,False,,
HAGHL,11727587_x_at,LOC84264,0.0269368433770195,4.01932781456954,0.669381099991116,0.503767210687538,0.977815670604323,-5.56556229938404,25425,False,Higher in AD,False,,
SRSF3,11723038_at,LOC6428,-0.0526654878826552,4.07281456953642,-0.669289927978947,0.503825274306221,0.977815670604323,-5.56561758087981,25426,False,Lower in AD,False,,
,11759858_at,,0.0312277198541281,2.45395695364238,0.669266976487733,0.503839891704623,0.977815670604323,-5.56563149616942,25427,False,Higher in AD,False,,
