"Gene symbol","Probe ID / feature ID","LocusLink","limma logFC AD vs CN","Average expression","Moderated t statistic","Raw P value","FDR-adjusted P value","B statistic","Rank by raw P value","Selected for 464-gene panel","Direction in AD"
"SLC2A14 || SLC2A3","11734657_s_at","",0.191883381824819,7.95258278145695,3.09409282494999,0.00216018672971528,0.500859069641872,-1.49970161265249,213,TRUE,"Higher in AD"
"AHCTF1","11730252_s_at","LOC25909",0.128661028988859,6.92269536423841,3.08702597401773,0.0022105650748543,0.510144704611002,-1.51884927424618,214,TRUE,"Higher in AD"
"SLC2A14 || SLC2A3","11736556_s_at","",0.217009672876309,6.93712582781457,3.08166902031949,0.00224947249582365,0.516709063622077,-1.53333676033235,215,TRUE,"Higher in AD"
"LAMP2","11750202_a_at","LOC3920",0.179611512865318,5.30638741721854,3.07650805792628,0.00228755190048029,0.520429825081832,-1.54727200716465,216,TRUE,"Higher in AD"
"MBP","11757273_s_at","LOC4155",0.235092602254075,5.69247682119205,3.073922887556,0.00230684846532032,0.520429825081832,-1.55424410161267,217,TRUE,"Higher in AD"
"ZFYVE16","11739855_a_at","LOC9765",0.260231278258998,3.53929801324503,3.07237625711558,0.00231846454623016,0.520429825081832,-1.5584126838476,218,TRUE,"Higher in AD"
"ZNF705E || ZNF705B || ZNF705A || ZNF705D","11750499_s_at","",0.0986259877781513,1.92130132450331,3.07107505742483,0.00232827897653317,0.520429825081832,-1.5619182485402,219,TRUE,"Higher in AD"
"AQP9","11749906_a_at","LOC366",0.209360529285343,8.13416887417219,3.07090111394173,0.00232959385641304,0.520429825081832,-1.56238676503771,220,TRUE,"Higher in AD"
"SPG20","11748660_a_at","LOC23111",0.189178317922284,6.12154966887417,3.06992756210261,0.00233696579031762,0.520429825081832,-1.56500856825778,221,TRUE,"Higher in AD"
"MXD3","11735170_at","LOC83463",0.221485656306838,7.6170298013245,3.06960188055608,0.00233943670611442,0.520429825081832,-1.56588546492022,222,TRUE,"Higher in AD"
"LIMK2","11739043_a_at","LOC3985",0.189225569562355,8.62262913907285,3.06587828820436,0.00236785865353183,0.521974663314744,-1.57590505643512,223,TRUE,"Higher in AD"
"SLC2A14 || SLC2A3","11752739_s_at","",0.184421181437008,4.71138079470199,3.06584129666243,0.00236814259475637,0.521974663314744,-1.5760045378228,224,TRUE,"Higher in AD"
"TMBIM6","11718408_x_at","LOC7009",0.0616590029151749,10.8998907284768,3.06454806953952,0.00237808891681483,0.521974663314744,-1.57948171054918,225,TRUE,"Higher in AD"
