epoch,train_loss,train_accuracy,train_balanced_accuracy,train_auc,train_f1,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_auc,validation_f1
1,0.7063377407267263,0.4216061185468451,0.5,0.6613631678566743,0.5931405514458642,0.717960632273129,0.42410714285714285,0.5,0.6747450020399838,0.5956112852664577
2,0.692995616400447,0.5783938814531548,0.5,0.6754333689398624,0.0,0.6909398713282177,0.5758928571428571,0.5,0.7090983272133823,0.0
3,0.6936522382623151,0.4216061185468451,0.5,0.6973126440658908,0.5931405514458642,0.6948721962315696,0.42410714285714285,0.5,0.729702162382701,0.5956112852664577
4,0.6938797311846658,0.5783938814531548,0.5,0.6533779351961169,0.0,0.6887461340853146,0.5758928571428571,0.5,0.7011831905344758,0.0
5,0.6918341273559439,0.5783938814531548,0.5,0.7152377204325256,0.0,0.6856905743479729,0.5758928571428571,0.5,0.725907792737658,0.0
6,0.6759976798216198,0.5917782026768642,0.5189464215438242,0.7334270347257361,0.10105263157894737,0.6675213905317443,0.5892857142857143,0.518563851489188,0.7341493268053856,0.09803921568627451
7,0.6253512134743466,0.6491395793499044,0.6773317591499409,0.7533591949176365,0.6731967943009796,0.6394994705915451,0.6428571428571429,0.6663402692778457,0.7304773561811505,0.6610169491525424
8,0.6355779765326935,0.627151051625239,0.66539232772999,0.7477820880418284,0.6728187919463087,0.6482813730835915,0.6517857142857143,0.6893512851897186,0.7336597307221542,0.6953125
9,0.5938937825864861,0.6778202676864244,0.6993590824759657,0.7678791626843575,0.6865116279069767,0.6160551724689347,0.6339285714285714,0.6516523867809056,0.732843737250102,0.6403508771929824
10,0.579169219356194,0.7141491395793499,0.7203144618729034,0.7794194261726729,0.6914344685242518,0.621226039315973,0.6517857142857143,0.654671562627499,0.7268869849041207,0.6213592233009708
11,0.5830793042255861,0.7304015296367112,0.730675961844793,0.7811435317928824,0.6961206896551724,0.6070160354886737,0.65625,0.6571603427172583,0.7422276621787025,0.6206896551724138
12,0.5709779195302304,0.7112810707456979,0.7202938475665748,0.7877288656509436,0.694331983805668,0.6044744120112487,0.6696428571428571,0.6743370053039576,0.7472868217054264,0.6442307692307693
13,0.5656216541736121,0.745697896749522,0.7423623995052566,0.8038717415340791,0.70509977827051,0.6198548211583069,0.6651785714285714,0.6565891472868217,0.7480212158302733,0.6031746031746031
14,0.5573261432050519,0.7523900573613767,0.7444594366672288,0.8145686924907706,0.7026406429391504,0.6200978625565767,0.6785714285714286,0.6654426764585883,0.7611587107303142,0.6043956043956044
