Model,Input representation,MFV dimension,Split,"Subjects, n",Best epoch,Loss,Accuracy,Balanced accuracy,AUC,Precision,Recall / AD sensitivity,CN specificity,F1 score,TN,FP,FN,TP
Final MRI branch,3D structural MRI -> MFV128,128,Train,1046,56,0.1408794334525132,0.9933078393881453,0.9932928543318154,0.9964318509773056,0.9909502262443439,0.9931972789115646,0.9933884297520661,0.9920724801812004,601,4,3,438
Final MRI branch,3D structural MRI -> MFV128,128,Validation,224,56,0.5383376315502184,0.8214285714285714,0.8088943288453693,0.926234190126479,0.8313253012048193,0.7263157894736842,0.8914728682170543,0.7752808988764045,115,14,26,69
Final MRI branch,3D structural MRI -> MFV128,128,Test,225,56,0.5567253499560886,0.8355555555555556,0.8279352226720648,0.9076113360323886,0.8222222222222222,0.7789473684210526,0.8769230769230769,0.8,114,16,21,74
