config,epoch,train_loss,train_mri_auc,train_mri_balanced_accuracy,train_alignment_cosine_mean,val_mri_auc,val_mri_balanced_accuracy,val_alignment_cosine_mean,val_alignment_subject_r,selection_score
agfv_h256_align050_contrast010,1,1.0314624243312411,0.9918217375844495,0.993006993006993,0.3067682981491089,0.9051282051282052,0.8012820512820513,0.15466076135635376,0.15500833396478786,1.7574786993577343
agfv_h256_align050_contrast010,2,0.567383822467592,0.9971553869858955,0.993006993006993,0.5637884140014648,0.8871794871794872,0.8012820512820513,0.3268047273159027,0.32958856581812157,1.8395676324715997
agfv_h256_align050_contrast010,3,0.4822890857855479,0.9975109636126586,0.993006993006993,0.7101927399635315,0.8641025641025641,0.8179487179487179,0.4368728697299957,0.44114425299905724,1.8983321410309302
agfv_h256_align050_contrast010,4,0.44210755825042725,0.9978665402394217,0.993006993006993,0.7945006489753723,0.858974358974359,0.8179487179487179,0.5060357451438904,0.5108224950203829,1.9339306305485597
agfv_h256_align050_contrast010,5,0.41873322592841256,0.9979850657816759,0.993006993006993,0.8446363210678101,0.8641025641025641,0.8179487179487179,0.5523059964179993,0.5574587787830069,1.9676090416279746
agfv_h256_align050_contrast010,6,0.4230535129706065,0.997985065781676,0.993006993006993,0.8730813264846802,0.8615384615384616,0.8179487179487179,0.5806775093078613,0.5861209374834817,1.9817122959942348
agfv_h256_align050_contrast010,7,0.41185391280386185,0.998340642408439,0.993006993006993,0.8895865082740784,0.8641025641025641,0.8179487179487179,0.5973996520042419,0.6031076398663289,1.9946674190354132
agfv_h256_align050_contrast010,8,0.3948126898871528,0.9989332701197108,0.993006993006993,0.8968914747238159,0.8615384615384616,0.8179487179487179,0.6075398921966553,0.6134752411094535,1.997736687150524
agfv_h256_align050_contrast010,9,0.4021024273501502,0.9988147445774564,0.993006993006993,0.90004563331604,0.858974358974359,0.8179487179487179,0.6144003868103027,0.6203087710032231,1.9989193483293448
agfv_h256_align050_contrast010,10,0.39343756768438554,0.9991703212042196,0.993006993006993,0.9019755721092224,0.8615384615384616,0.7794871794871795,0.618538498878479,0.6244007396643103,1.960062213453476
agfv_h256_align050_contrast010,11,0.3881254692872365,0.9989332701197108,0.993006993006993,0.90426105260849,0.8615384615384616,0.7794871794871795,0.624430239200592,0.6299266928256188,1.9635962365933393
agfv_h256_align050_contrast010,12,0.38679124580489266,0.9988147445774564,0.993006993006993,0.9077305793762207,0.8692307692307694,0.7794871794871795,0.6293830275535583,0.6343193282213578,1.9753758269868886
agfv_h256_align050_contrast010,13,0.38680699798795914,0.9990517956619651,0.993006993006993,0.9063252210617065,0.8897435897435898,0.7794871794871795,0.6308847665786743,0.6354423050730474,1.999793180111683
agfv_h256_align050_contrast010,14,0.39071285393502975,0.9990517956619651,0.993006993006993,0.9064900875091553,0.8974358974358975,0.7794871794871795,0.6311356425285339,0.6354159701697001,2.008762138442432
agfv_h256_align050_contrast010,15,0.3821950587961409,0.9992888467464739,0.993006993006993,0.9058099985122681,0.9025641025641026,0.7794871794871795,0.6326100826263428,0.6367926828973052,2.0154989079988566
agfv_h256_align050_contrast010,16,0.37824760211838615,0.9995258978309826,0.993006993006993,0.904262900352478,0.9051282051282052,0.7794871794871795,0.6352247595787048,0.6394629502662107,2.01998643349797
agfv_h256_align050_contrast010,17,0.37684205174446106,0.9992888467464739,0.993006993006993,0.9118262529373169,0.8948717948717949,0.7794871794871795,0.6355443000793457,0.6396869690612251,2.008409291495596
agfv_h256_align050_contrast010,18,0.3772478136751387,0.9992888467464739,0.993006993006993,0.9166288375854492,0.8846153846153847,0.8179487179487179,0.6349872946739197,0.6387666803223755,2.0404746573548955
agfv_h256_align050_contrast010,19,0.38024618559413487,0.999644423373237,0.993006993006993,0.9080198407173157,0.8846153846153847,0.7794871794871795,0.6338961124420166,0.637835460653799,1.9955518385473023
agfv_h256_align050_contrast010,20,0.39533063107066685,0.9995258978309826,0.993006993006993,0.907640278339386,0.8846153846153847,0.7794871794871795,0.633618950843811,0.6374987733603595,1.9953973678501942
agfv_h256_align050_contrast010,21,0.377234290043513,0.9995258978309826,0.993006993006993,0.8958064913749695,0.8948717948717949,0.7794871794871795,0.631804347038269,0.6356461791930009,2.0060996783255587
agfv_h256_align050_contrast010,22,0.41749516791767544,0.9992888467464739,0.993006993006993,0.9159687161445618,0.905128205128205,0.8179487179487179,0.627957284450531,0.631028251023931,2.0597755529031003
agfv_h256_align050_contrast010,23,0.386112329032686,0.9994073722887282,0.993006993006993,0.9024531245231628,0.8999999999999999,0.7794871794871795,0.6294280886650085,0.6326433706050466,2.0105264830089067
agfv_h256_align050_contrast010,24,0.3654789990848965,0.9995258978309826,0.993006993006993,0.9010894298553467,0.9051282051282052,0.7794871794871795,0.6271436810493469,0.6303635731364086,2.0150359565203106
agfv_h256_align050_contrast010,25,0.36780161990059745,0.9997629489154913,0.993006993006993,0.9002467393875122,0.9025641025641027,0.7794871794871795,0.6264322996139526,0.6297054195518047,2.0116301748327587
