C,Train AUC,Train balanced accuracy,Validation AUC,Validation balanced accuracy,Validation selection score
0.001,0.9981016686296169,0.9950054499301384,0.9072215422276623,0.8285597715218278,1.7357813037494902
0.003,0.9983028405474802,0.9950054499301384,0.9088535291717665,0.8285597715218278,1.7374132706935943
0.01,0.9984345167118999,0.9950054499301384,0.9137494900040799,0.8285597715218278,1.7423091615259076
0.03,0.9985625352050855,0.9950054499301384,0.9184006527947776,0.823296613627091,1.7416969664218684
0.1,0.9988295452051588,0.9961265261633223,0.9237862097103223,0.8390860873113015,1.762871297021624
0.3,0.9992245736984177,0.9972476023965062,0.9277845777233782,0.8443492452060384,1.7721308229294166
1.0,0.9995098720546602,0.9980632630816612,0.9139942880456957,0.8457364341085272,1.7597207221542228
3.0,0.9998061434246045,0.9980632630816612,0.9188086495308038,0.8457364341085272,1.764515083639331
10.0,0.9999268465753224,0.9980632630816612,0.9057527539779682,0.847123623011016,1.7527763769889841
30.0,0.9999524502739596,0.9980632630816612,0.9032231742146064,0.8404732762137903,1.7433964504283967
100.0,0.9999743963013628,0.9980632630816612,0.8885352917176662,0.8390860873113015,1.726621379028968
