Model,Split,Subgroup,"Subjects, n","AD, n","CN, n",AUC,Accuracy,Balanced accuracy,Precision,AD sensitivity,CN specificity,F1,TN,FP,FN,TP
Final AGFV logistic classifier,Train,Overall,1059,446,613,0.9992245736984177,0.9971671388101983,0.9972476023965062,0.9955257270693513,0.9977578475336323,0.9967373572593801,0.9966405375139977,611,2,1,445
Final AGFV logistic classifier,Train,measured_gfv_encoder,215,64,151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151,0,0,64
Final AGFV logistic classifier,Train,mri_mfv_encoder,844,382,462,0.9991330658869926,0.9964454976303317,0.9965265973119377,0.9947780678851175,0.9973821989528796,0.9956709956709957,0.996078431372549,460,2,1,381
Final AGFV logistic classifier,Validation,Overall,224,95,129,0.9277845777233782,0.8526785714285714,0.8443492452060384,0.8522727272727273,0.7894736842105263,0.8992248062015504,0.819672131147541,116,13,20,75
Final AGFV logistic classifier,Validation,measured_gfv_encoder,43,13,30,0.9743589743589745,0.8837209302325582,0.8948717948717949,0.75,0.9230769230769231,0.8666666666666667,0.8275862068965517,26,4,1,12
Final AGFV logistic classifier,Validation,mri_mfv_encoder,181,82,99,0.9264597191426459,0.8453038674033149,0.8386917960088691,0.875,0.7682926829268293,0.9090909090909091,0.8181818181818182,90,9,19,63
Final AGFV logistic classifier,Test,Overall,225,95,130,0.8767611336032388,0.8311111111111111,0.8269230769230769,0.8,0.8,0.8538461538461538,0.8,111,19,19,76
Final AGFV logistic classifier,Test,measured_gfv_encoder,44,13,31,0.9702233250620348,0.8863636363636364,0.8970223325062034,0.75,0.9230769230769231,0.8709677419354839,0.8275862068965517,27,4,1,12
Final AGFV logistic classifier,Test,mri_mfv_encoder,181,82,99,0.8608031534860803,0.8176795580110497,0.8144863266814486,0.810126582278481,0.7804878048780488,0.8484848484848485,0.7950310559006211,84,15,18,64
